lower,upper,n_shipments,trucks,percent
0,50,1,3727,75.4
0,50,2-5,811,16.4
0,50,6-10,214,4.3
0,50,11-20,95,1.9
0,50,11-25,31,0.6
0,50,21-50,35,0.7
0,50,26-50,5,0.1
0,50,51-100,19,0.4
0,50,101+,5,0.1
51,100,1,2297,64.2
51,100,2-5,793,22.2
51,100,6-10,243,6.8
51,100,11-20,140,3.9
51,100,11-25,36,1
51,100,21-50,46,1.3
51,100,26-50,7,0.2
51,100,51-100,11,0.3
51,100,101+,5,0.1
101,200,1,2627,65.8
101,200,2-5,846,21.2
101,200,6-10,273,6.8
101,200,11-20,95,2.4
101,200,11-25,80,2
101,200,21-50,45,1.1
101,200,26-50,14,0.4
101,200,51-100,5,0.1
101,200,101+,8,0.2
201,500,1,6039,77.5
201,500,2-5,1285,16.5
201,500,6-10,187,2.4
201,500,11-20,103,1.3
201,500,11-25,57,0.7
201,500,21-50,79,1
201,500,26-50,25,0.3
201,500,51-100,10,0.1
201,500,101+,4,0.1
501,10000,1,6610,74.6
501,10000,2-5,1684,19
501,10000,6-10,286,3.2
501,10000,11-20,134,1.5
501,10000,11-25,26,0.3
501,10000,21-50,85,1
501,10000,26-50,17,0.2
501,10000,51-100,8,0.1
501,10000,101+,7,0.1
