crossing_type,body_type,SU,TT,CS,DBL,TPT
domestic,auto,0,0,0.14,0,0
domestic,livestock,0,0,0.2,0.16,0
domestic,bulk,0.21,0.14,0.2,0.2,0.06
domestic,flatbed,0.14,0.16,0.16,0.2,0.03
domestic,tank,0.17,0.18,0.2,0.2,0
domestic,dry_van,0.12,0.07,0.1,0.04,0.07
domestic,reefer,0.1,0.08,0.09,0.13,0
domestic,logging,0.24,0.21,0.2,0.13,0
domestic,other,0.1,0.06,0.25,0,0
border,auto,0,0,0.28,0,0
border,livestock,0,0,0.4,0.32,0
border,bulk,0.42,0.28,0.4,0.4,0.12
border,flatbed,0.28,0.32,0.32,0.4,0.06
border,tank,0.34,0.36,0.4,0.4,0
border,dry_van,0.24,0.14,0.2,0.08,0.14
border,reefer,0.2,0.16,0.18,0.26,0
border,logging,0.48,0.42,0.4,0.26,0
border,other,0.2,0.12,0.5,0,0
