minimum_range,maximum_range,vehicle_type,allocation_factor
0,50,SU,0.793201
0,50,TT,0.070139
0,50,CS,0.130465
0,50,DBL,0.006179
0,50,TPT,0.0000167
51,100,SU,0.577445
51,100,TT,0.058172
51,100,CS,0.344653
51,100,DBL,0.019608
51,100,TPT,0
101,200,SU,0.313468
101,200,TT,0.045762
101,200,CS,0.565269
101,200,DBL,0.074434
101,200,TPT,0.000452
201,500,SU,0.142467
201,500,TT,0.027288
201,500,CS,0.751628
201,500,DBL,0.075218
201,500,TPT,0.002031
501,10000,SU,0.06466
501,10000,TT,0.0149
501,10000,CS,0.879727
501,10000,DBL,0.034143
501,10000,TPT,0.004225
