t.year,year,external_sta,entry,exit
20,2010,5001,268,268
20,2010,5002,5389,5389
20,2010,5003,2323,2323
20,2010,5004,1027,1027
20,2010,5007,1942,1942
20,2010,5008,227,227
20,2010,5009,112,112
20,2010,5010,2981,2981
21,2011,5001,272,272
21,2011,5002,5471,5471
21,2011,5003,2358,2358
21,2011,5004,1043,1043
21,2011,5007,1972,1972
21,2011,5008,231,231
21,2011,5009,114,114
21,2011,5010,3026,3026
22,2012,5001,276,276
22,2012,5002,5554,5554
22,2012,5003,2394,2394
22,2012,5004,1058,1058
22,2012,5007,2002,2002
22,2012,5008,234,234
22,2012,5009,115,115
22,2012,5010,3072,3072
23,2013,5001,280,280
23,2013,5002,5638,5638
23,2013,5003,2430,2430
23,2013,5004,1075,1075
23,2013,5007,2032,2032
23,2013,5008,238,238
23,2013,5009,117,117
23,2013,5010,3118,3118
24,2014,5001,284,284
24,2014,5002,5724,5724
24,2014,5003,2467,2467
24,2014,5004,1091,1091
24,2014,5007,2063,2063
24,2014,5008,241,241
24,2014,5009,119,119
24,2014,5010,3166,3166
25,2015,5001,288,288
25,2015,5002,5811,5811
25,2015,5003,2504,2504
25,2015,5004,1107,1107
25,2015,5007,2094,2094
25,2015,5008,245,245
25,2015,5009,121,121
25,2015,5010,3214,3214
26,2016,5001,293,293
26,2016,5002,5899,5899
26,2016,5003,2542,2542
26,2016,5004,1124,1124
26,2016,5007,2126,2126
26,2016,5008,249,249
26,2016,5009,122,122
26,2016,5010,3262,3262
27,2017,5001,297,297
27,2017,5002,5988,5988
27,2017,5003,2581,2581
27,2017,5004,1141,1141
27,2017,5007,2158,2158
27,2017,5008,252,252
27,2017,5009,124,124
27,2017,5010,3312,3312
28,2018,5001,302,302
28,2018,5002,6079,6079
28,2018,5003,2620,2620
28,2018,5004,1159,1159
28,2018,5007,2191,2191
28,2018,5008,256,256
28,2018,5009,126,126
28,2018,5010,3362,3362
29,2019,5001,306,306
29,2019,5002,6171,6171
29,2019,5003,2660,2660
29,2019,5004,1176,1176
29,2019,5007,2224,2224
29,2019,5008,260,260
29,2019,5009,128,128
29,2019,5010,3413,3413
30,2020,5001,311,311
30,2020,5002,6265,6265
30,2020,5003,2700,2700
30,2020,5004,1194,1194
30,2020,5007,2258,2258
30,2020,5008,264,264
30,2020,5009,130,130
30,2020,5010,3465,3465
31,2021,5001,316,316
31,2021,5002,6359,6359
31,2021,5003,2740,2740
31,2021,5004,1212,1212
31,2021,5007,2292,2292
31,2021,5008,268,268
31,2021,5009,132,132
31,2021,5010,3517,3517
32,2022,5001,320,320
32,2022,5002,6454,6454
32,2022,5003,2781,2781
32,2022,5004,1230,1230
32,2022,5007,2326,2326
32,2022,5008,272,272
32,2022,5009,134,134
32,2022,5010,3569,3569
33,2023,5001,325,325
33,2023,5002,6550,6550
33,2023,5003,2823,2823
33,2023,5004,1248,1248
33,2023,5007,2361,2361
33,2023,5008,276,276
33,2023,5009,136,136
33,2023,5010,3623,3623
34,2024,5001,330,330
34,2024,5002,6648,6648
34,2024,5003,2865,2865
34,2024,5004,1267,1267
34,2024,5007,2396,2396
34,2024,5008,280,280
34,2024,5009,138,138
34,2024,5010,3677,3677
35,2025,5001,335,335
35,2025,5002,6747,6747
35,2025,5003,2908,2908
35,2025,5004,1286,1286
35,2025,5007,2432,2432
35,2025,5008,284,284
35,2025,5009,140,140
35,2025,5010,3732,3732
36,2026,5001,340,340
36,2026,5002,6848,6848
36,2026,5003,2951,2951
36,2026,5004,1305,1305
36,2026,5007,2468,2468
36,2026,5008,289,289
36,2026,5009,142,142
36,2026,5010,3788,3788
37,2027,5001,345,345
37,2027,5002,6951,6951
37,2027,5003,2995,2995
37,2027,5004,1325,1325
37,2027,5007,2505,2505
37,2027,5008,293,293
37,2027,5009,144,144
37,2027,5010,3844,3844
38,2028,5001,350,350
38,2028,5002,7054,7054
38,2028,5003,3040,3040
38,2028,5004,1344,1344
38,2028,5007,2543,2543
38,2028,5008,297,297
38,2028,5009,146,146
38,2028,5010,3902,3902
39,2029,5001,355,355
39,2029,5002,7160,7160
39,2029,5003,3086,3086
39,2029,5004,1365,1365
39,2029,5007,2581,2581
39,2029,5008,302,302
39,2029,5009,149,149
39,2029,5010,3960,3960
40,2030,5001,361,361
40,2030,5002,7267,7267
40,2030,5003,3132,3132
40,2030,5004,1385,1385
40,2030,5007,2619,2619
40,2030,5008,306,306
40,2030,5009,151,151
40,2030,5010,4019,4019
41,2031,5001,366,366
41,2031,5002,7376,7376
41,2031,5003,3179,3179
41,2031,5004,1406,1406
41,2031,5007,2658,2658
41,2031,5008,311,311
41,2031,5009,153,153
41,2031,5010,4079,4079
42,2032,5001,372,372
42,2032,5002,7486,7486
42,2032,5003,3226,3226
42,2032,5004,1427,1427
42,2032,5007,2698,2698
42,2032,5008,315,315
42,2032,5009,155,155
