centroid,dms_orig,dms_dest,entry,exit,travel_time,gamma
Birmingham AL,11,531,0,0,37,0.5
Birmingham AL,11,531,5007,5003,37,0.5
Mobile AL,12,531,0,0,40,0.5
Mobile AL,12,531,5007,5003,40,0.5
Anchorage AK,20,61,5002,5010,59,0.5
Anchorage AK,20,61,0,0,59,0.5
Anchorage AK,20,62,5002,5010,52,0.591
Anchorage AK,20,62,0,0,57,0.409
Anchorage AK,20,63,0,0,60,0.5
Anchorage AK,20,63,5002,5010,60,0.5
Anchorage AK,20,64,5002,5010,53,0.589
Anchorage AK,20,64,0,0,58,0.411
Anchorage AK,20,65,5002,5010,55,0.586
Anchorage AK,20,65,0,0,60,0.414
Anchorage AK,20,69,5002,5010,57,0.551
Anchorage AK,20,69,0,0,60,0.449
Anchorage AK,20,160,5003,5007,48,0.5
Anchorage AK,20,160,0,0,48,0.5
Anchorage AK,20,321,0,0,54,0.588
Anchorage AK,20,321,5002,5010,59,0.412
Anchorage AK,20,329,5002,5009,52,0.367
Anchorage AK,20,329,5003,5008,53,0.34
Anchorage AK,20,329,0,0,55,0.293
Phoenix AZ,41,531,5007,5003,21.9,0.574
Phoenix AZ,41,531,5010,5002,23.6,0.426
Phoenix AZ,41,539,5008,5003,20.7,0.505
Phoenix AZ,41,539,0,0,20.8,0.495
Tucson AZ,42,531,5007,5003,23.5,0.562
Tucson AZ,42,531,5010,5002,25,0.438
Tucson AZ,42,539,0,0,22.3,0.509
Tucson AZ,42,539,5008,5003,22.5,0.491
Flagstaff AZ,49,531,5007,5003,20.4,0.601
Flagstaff AZ,49,531,0,0,22.6,0.399
Flagstaff AZ,49,539,0,0,18.6,0.537
Flagstaff AZ,49,539,5007,5003,19.3,0.463
Little Rock AR,50,531,5007,5003,32,0.531
Little Rock AR,50,531,0,0,33,0.469
Los Angeles CA,61,160,5008,5007,13.5,0.515
Los Angeles CA,61,160,0,0,13.7,0.485
Los Angeles CA,61,531,5010,5002,17.6,0.576
Los Angeles CA,61,531,5009,5004,19,0.424
Los Angeles CA,61,539,5008,5003,19,0.516
Los Angeles CA,61,539,5009,5003,19.3,0.484
Sacramento CA,62,160,5008,5007,8.7,0.704
Sacramento CA,62,160,0,0,10.8,0.296
Sacramento CA,62,531,5010,5002,11.4,0.621
Sacramento CA,62,531,5009,5003,12.9,0.379
Sacramento CA,62,539,5009,5003,13,0.657
Sacramento CA,62,539,5010,5002,15.3,0.343
San Diego CA,63,160,0,0,14.8,0.513
San Diego CA,63,160,5008,5007,15,0.487
San Diego CA,63,531,5010,5002,19.7,0.564
San Diego CA,63,531,5009,5003,21,0.436
San Diego CA,63,539,5008,5003,21,0.509
San Diego CA,63,539,5009,5003,21.2,0.491
San Francisco CA,64,160,5008,5007,10,1
San Francisco CA,64,300,0,0,15.9,0.702
San Francisco CA,64,300,5009,5007,19.7,0.298
San Francisco CA,64,531,5010,5002,12.2,0.427
San Francisco CA,64,531,5009,5002,13.2,0.312
San Francisco CA,64,531,5009,5003,13.8,0.261
Fresno CA,65,160,5008,5007,11.2,1
Fresno CA,65,531,5010,5002,14.2,0.635
