SWIM Name,File Name
NO,AllLinks.csv
FromNodeNo,AllLinks.csv
ToNodeNo,AllLinks.csv
AADT_1999,AllLinks.csv
AADT_2002,AllLinks.csv
AADT_2006,AllLinks.csv
ABS,AllLinks.csv
ALPHA_TAZ,AllLinks.csv
ANODEX,AllLinks.csv
ANODEY,AllLinks.csv
AREATYPE,AllLinks.csv
ATR_2005_AADT,AllLinks.csv
ATR_2005_TRK_AADT,AllLinks.csv
ATR_2005_TRK_PRCT,AllLinks.csv
ATR_NUM,AllLinks.csv
ATR_NUMB,AllLinks.csv
AUTO_COST,AllLinks.csv
AVG_COMBINATION_1999,AllLinks.csv
AVG_COMBINATION_2002,AllLinks.csv
AVG_COMBINATION_2006,AllLinks.csv
AVG_SINGLE_UNIT_1999,AllLinks.csv
AVG_SINGLE_UNIT_2002,AllLinks.csv
AVG_SINGLE_UNIT_2006,AllLinks.csv
BEG_MP,AllLinks.csv
BLOCK,AllLinks.csv
BNODEX,AllLinks.csv
BNODEY,AllLinks.csv
DAILY_TIME_AUTO,AllLinks.csv
DAILY_TIME_TRUCK,AllLinks.csv
DAILY_VOL_AUTO,AllLinks.csv
DAILY_VOL_TOTAL,AllLinks.csv
DAILY_VOL_TRUCK,AllLinks.csv
DIR_FACTOR_2006,AllLinks.csv
END_MP,AllLinks.csv
F_SYSTEM,AllLinks.csv
F_SYSTEM_2006,AllLinks.csv
FCTYPE,AllLinks.csv
FEDURBAN,AllLinks.csv
HERS_BMP,AllLinks.csv
HERS_EMP,AllLinks.csv
LRS,AllLinks.csv
MPO,AllLinks.csv
NET,AllLinks.csv
NEWLINK,AllLinks.csv
NOTES,AllLinks.csv
NT_TIME_AUTO,AllLinks.csv
NT_TIME_TRUCK,AllLinks.csv
NT_VOL_AUTO,AllLinks.csv
NT_VOL_FACTOR,AllLinks.csv
NT_VOL_TOTAL,AllLinks.csv
NT_VOL_TRUCK,AllLinks.csv
OLDMODES,AllLinks.csv
OP_TIME_AUTO,AllLinks.csv
OP_TIME_TRUCK,AllLinks.csv
OP_VOL_AUTO,AllLinks.csv
OP_VOL_FACTOR,AllLinks.csv
OP_VOL_TOTAL,AllLinks.csv
OP_VOL_TRUCK,AllLinks.csv
PERDIF,AllLinks.csv
PK_TIME_AUTO,AllLinks.csv
PK_TIME_TRUCK,AllLinks.csv
PK_VOL_AUTO,AllLinks.csv
PK_VOL_FACTOR,AllLinks.csv
PK_VOL_TOTAL,AllLinks.csv
PK_VOL_TRUCK,AllLinks.csv
PM_TIME_AUTO,AllLinks.csv
PM_TIME_TRUCK,AllLinks.csv
PM_VOL_AUTO,AllLinks.csv
PM_VOL_FACTOR,AllLinks.csv
PM_VOL_TOTAL,AllLinks.csv
PM_VOL_TRUCK,AllLinks.csv
REF_2009_A,AllLinks.csv
REF_2009_D,AllLinks.csv
REF_2009_T,AllLinks.csv
RESTRICT,AllLinks.csv
STHWY,AllLinks.csv
SWIM_1998_A,AllLinks.csv
SWIM_1998_D,AllLinks.csv
SWIM_1998_T,AllLinks.csv
SWIM_2001_A,AllLinks.csv
SWIM_2001_D,AllLinks.csv
SWIM_2001_T,AllLinks.csv
SWIM_2005_A,AllLinks.csv
SWIM_2005_D,AllLinks.csv
SWIM_2005_T,AllLinks.csv
TEMP_CAPACITY,AllLinks.csv
TEMPATTR,AllLinks.csv
TRUCK_COST,AllLinks.csv
TYPE,AllLinks.csv
TYPE_FACILITY_1999,AllLinks.csv
TYPE_FACILITY_2002,AllLinks.csv
TYPE_FACILITY_2006,AllLinks.csv
UNIQID,AllLinks.csv
VDF,AllLinks.csv
VOL_CHECK,AllLinks.csv
WT_RES,AllLinks.csv
