Service Area,State,Agency,City,UZA Name,UZA Population,2010 Annual Vehicle Revenue Miles
0,Unknown,Unknown,Unknown,Unknown,99980001,9999
1,WA,Community Urban Bus Service(CUBS),Longview,"Longview, WA-OR",60443,403
2,WA,Yakima Transit(YT),Yakima,"Yakima, WA",112816,1737
3,WA,Ben Franklin Transit(BFT),Richland,"Kennewick-Richland, WA",153851,9954
4,WA,Clark County Public Transportation Benefit Area Authority(C-Tran),Vancouver,"Portland, OR-WA",1583138,5263
5,OR,Tri-County Metropolitan Transportation District of Oregon(TriMet),Portland,"Portland, OR-WA",1583138,37153
6,OR,South Metro Area Regional Transit(SMART),Wilsonville,"Portland, OR-WA",1583138,617
7,OR,Salem Area Mass Transit District(Cherriots),Salem,"Salem, OR",207229,5729
8,OR,City of Corvallis(CTS),Corvallis,"Corvallis, OR",58229,374
9,OR,Lane Transit District(LTD),Eugene,"Eugene, OR",224049,5776
10,OR,"City of Bend, Bend Area Transit(BAT)",Bend,"Bend, OR",57525,414
11,ID,Valley Regional Transit(VRT),Meridian,"Boise City, ID",272625,1672
12,OR,Rogue Valley Transportation District(RVTD),Medford,"Medford, OR",128780,991
