code,name,description
100,ureslo,Urban Low Density Residential
101,uresmed,Urban Medium Density Residential
102,uresmdh,Urban Medium High Density Residential
103,ureshi,Urban High Density Residential
104,umix,Urban Mixed Use
105,umixhi,Urban Mixed Use High
106,ucom,Urban Commercial
107,uindlt,Urban Light Industrial
108,uind,Urban Industrial
109,upub,Urban Public
110,uoth,Urban Other
111,ubigany,Urban Big City Any Use
112,uany,Urban Small City Any Use -- MPO only
113,unonindany,Urban Non-industrian -- Non-MPO/OOO Any Use
200,rres,Rural Residential - Low Density
200,rcntr,Rural Center - Low density mixed use
200,rcom,Rural Commercial
200,rind,Rural Industrial
200,rpub,Rural Public - parks etc
200,rreserve,Indian Reservation Military DOE COE BOR
200,rany,Rural Any Use
300,rfor,Rural Forest
301,rnatrs,Rural Natural Resources
400,xrec,Protected Recreation Land
401,xagfor,Protected Agriculture and Forest
402,xcons,Protected Natural Areas and Conservation Zones
403,xhalo,Protected Rural Land in Halo
404,xother,Protected Other
405,xother2,Rural Zoning Not Resolved (slivers without data protect)
500,xwater,Water
600,xtp,Major Transportation ROW
