OFareDistrict,DFareDistrict,Fare
TriMetFareless,TriMetFareless,0
TriMet1,TriMetFareless,1.75
TriMet2,TriMetFareless,1.75
TriMet3,TriMetFareless,2.05
CTRAN,TriMetFareless,3
Salem,TriMetFareless,3.05
Eugene,TriMetFareless,3.3
Medford,TriMetFareless,4.05
Corvallis,TriMetFareless,2.8
NONE,TriMetFareless,2.25
TriMetFareless,TriMet1,1.75
TriMet1,TriMet1,1.75
TriMet2,TriMet1,1.75
TriMet3,TriMet1,2.05
CTRAN,TriMet1,2.25
Salem,TriMet1,3.05
Eugene,TriMet1,3.3
Medford,TriMet1,4.05
Corvallis,TriMet1,2.8
NONE,TriMet1,2.25
TriMetFareless,TriMet2,1.75
TriMet1,TriMet2,1.75
TriMet2,TriMet2,1.75
TriMet3,TriMet2,1.75
CTRAN,TriMet2,2.25
Salem,TriMet2,2.75
Eugene,TriMet2,3
Medford,TriMet2,3.75
Corvallis,TriMet2,2.5
NONE,TriMet2,1.75
TriMetFareless,TriMet3,2.05
TriMet1,TriMet3,2.05
TriMet2,TriMet3,1.75
TriMet3,TriMet3,1.75
CTRAN,TriMet3,2.25
Salem,TriMet3,2.75
Eugene,TriMet3,3
Medford,TriMet3,3.75
Corvallis,TriMet3,2.5
NONE,TriMet3,1.75
TriMetFareless,CTRAN,3
TriMet1,CTRAN,2.25
TriMet2,CTRAN,2.05
TriMet3,CTRAN,2.05
CTRAN,CTRAN,1.25
Salem,CTRAN,3.25
Eugene,CTRAN,3.5
Medford,CTRAN,4.25
Corvallis,CTRAN,3
NONE,CTRAN,2.25
TriMetFareless,Salem,3.05
TriMet1,Salem,3.05
TriMet2,Salem,2.75
TriMet3,Salem,2.75
CTRAN,Salem,3.25
Salem,Salem,1
Eugene,Salem,2.25
Medford,Salem,3
Corvallis,Salem,1.75
NONE,Salem,1
TriMetFareless,Eugene,3.3
TriMet1,Eugene,3.3
TriMet2,Eugene,3
TriMet3,Eugene,3
CTRAN,Eugene,3.5
Salem,Eugene,2.25
Eugene,Eugene,1.25
Medford,Eugene,3.25
Corvallis,Eugene,2
NONE,Eugene,1.25
TriMetFareless,Medford,4.05
TriMet1,Medford,4.05
TriMet2,Medford,3.75
TriMet3,Medford,3.75
CTRAN,Medford,4.25
Salem,Medford,3
Eugene,Medford,3.25
Medford,Medford,2
Corvallis,Medford,2.75
NONE,Medford,2
TriMetFareless,Corvallis,2.8
TriMet1,Corvallis,2.8
TriMet2,Corvallis,2.5
TriMet3,Corvallis,2.5
CTRAN,Corvallis,3
Salem,Corvallis,1.75
Eugene,Corvallis,2
Medford,Corvallis,2.75
Corvallis,Corvallis,0.75
NONE,Corvallis,0.75
TriMetFareless,NONE,2.05
TriMet1,NONE,2.05
TriMet2,NONE,1.75
TriMet3,NONE,1.75
CTRAN,NONE,2.25
Salem,NONE,1
Eugene,NONE,1.25
Medford,NONE,2
Corvallis,NONE,0.75
NONE,NONE,2
