year,res_or_non_res,dollars
2009,residential,7890011230
2009,non_residential,7631333227
2010,residential,7579218891
2010,non_residential,6601655885
2011,residential,7557669334
2011,non_residential,6235864603
2012,residential,8088402478
2012,non_residential,6307395883
2013,residential,8884769472
2013,non_residential,6191913372
2014,residential,9483495763
2014,non_residential,6583912584
2015,residential,10214765729
2015,non_residential,7001432025
2016,residential,11236143130
2016,non_residential,7310730391
2017,residential,12147092227
2017,non_residential,7387582175
2018,residential,12402059182
2018,non_residential,7508708620
2019,residential,12545698998
2019,non_residential,7662471752
2020,residential,12734679468
2020,non_residential,7779816228
2021,residential,12703469143
2021,non_residential,7893980733
2022,residential,12716971637
2022,non_residential,8019656331
2023,residential,12745543014
2023,non_residential,8146584392
2024,residential,12745856176
2024,non_residential,8217933796
2025,residential,12688136151
2025,non_residential,8269032635
2026,residential,12690261645
2026,non_residential,8385460825
2027,residential,12751900970
2027,non_residential,8547934061
2028,residential,12534037839
2028,non_residential,8730140890
2029,residential,12506406418
2029,non_residential,8911032146
2030,residential,12696638127
2030,non_residential,9082714392
2031,residential,12786971620
2031,non_residential,9255054424
2032,residential,12594614417
2032,non_residential,9416869875
2033,residential,12583986947
2033,non_residential,9583289830
2034,residential,12777406897
2034,non_residential,9754972076
2035,residential,13057972099
2035,non_residential,9923365391
2036,residential,13275835229
2036,non_residential,10091100919
2037,residential,13372545204
2037,non_residential,10264756524
2038,residential,13527706262
2038,non_residential,10442358848
2039,residential,13582969105
2039,non_residential,10619961172
2040,residential,13709435995
2040,non_residential,10816639300
2041,residential,13901793198
2041,non_residential,11009370711
2042,residential,14029322835
2042,non_residential,11188946394
2043,residential,14211052568
2043,non_residential,11386282309
2044,residential,14480990300
2044,non_residential,11588880515
2045,residential,14789186923
2045,non_residential,11782927499
