year,age_group,population
2009,0,307922
2009,5,305875
2009,10,315495
2009,15,326938
2009,20,308547
2009,25,325640
2009,30,317326
2009,35,311035
2009,40,310550
2009,45,335349
2009,50,349928
2009,55,339569
2009,60,285875
2009,65,199300
2009,70,140507
2009,75,109009
2009,80,89744
2009,85,93194
2010,0,306379
2010,5,307200
2010,10,314859
2010,15,324815
2010,20,311840
2010,25,327073
2010,30,321716
2010,35,313936
2010,40,311950
2010,45,331844
2010,50,346371
2010,55,339816
2010,60,293470
2010,65,211206
2010,70,148235
2010,75,112030
2010,80,89565
2010,85,94672
2011,0,304844
2011,5,308533
2011,10,314225
2011,15,322708
2011,20,315168
2011,25,328514
2011,30,326167
2011,35,316865
2011,40,313357
2011,45,328376
2011,50,342851
2011,55,340064
2011,60,301267
2011,65,223824
2011,70,156390
2011,75,115136
2011,80,89388
2011,85,96175
2012,0,303317
2012,5,309870
2012,10,313592
2012,15,320614
2012,20,318532
2012,25,329960
2012,30,330679
2012,35,319820
2012,40,314770
2012,45,324944
2012,50,339366
2012,55,340312
2012,60,309271
2012,65,237195
2012,70,164993
2012,75,118327
2012,80,89211
2012,85,97701
2013,0,301798
2013,5,311213
2013,10,312960
2013,15,318534
2013,20,321932
2013,25,331413
2013,30,335254
2013,35,322803
2013,40,316189
2013,45,321548
2013,50,335917
2013,55,340560
2013,60,317488
2013,65,251365
2013,70,174070
2013,75,121607
2013,80,89034
2013,85,99251
2014,0,300286
2014,5,312562
2014,10,312330
2014,15,316467
2014,20,325368
2014,25,332872
2014,30,339892
2014,35,325814
2014,40,317614
2014,45,318187
2014,50,332503
2014,55,340808
2014,60,325923
2014,65,266382
2014,70,183646
2014,75,124978
2014,80,88857
2014,85,100826
2015,0,298782
2015,5,313917
2015,10,311701
2015,15,314413
2015,20,328841
2015,25,334337
2015,30,344595
2015,35,328853
2015,40,319046
2015,45,314861
2015,50,329124
2015,55,341056
2015,60,334582
2015,65,282295
2015,70,193749
2015,75,128441
2015,80,88681
2015,85,102427
2016,0,303290
2016,5,313461
2016,10,313908
2016,15,314682
2016,20,328525
2016,25,341345
2016,30,349108
2016,35,334612
2016,40,322871
2016,45,317109
2016,50,326574
2016,55,338529
2016,60,336043
2016,65,290726
2016,70,205900
2016,75,135814
2016,80,91486
2016,85,103710
2017,0,307866
2017,5,313005
2017,10,316130
2017,15,314951
2017,20,328210
2017,25,348500
2017,30,353681
2017,35,340472
2017,40,326742
2017,45,319374
2017,50,324044
2017,55,336021
2017,60,337510
2017,65,299409
2017,70,218813
2017,75,143611
2017,80,94380
2017,85,105009
2018,0,312511
2018,5,312550
2018,10,318368
2018,15,315220
2018,20,327895
2018,25,355805
2018,30,358313
2018,35,346435
2018,40,330659
2018,45,321655
2018,50,321533
2018,55,333531
2018,60,338984
2018,65,308351
2018,70,232536
2018,75,151855
2018,80,97365
2018,85,106324
2019,0,317226
2019,5,312096
2019,10,320622
2019,15,315490
2019,20,327580
2019,25,363263
2019,30,363006
2019,35,352502
2019,40,334623
2019,45,323952
2019,50,319042
2019,55,331060
2019,60,340464
2019,65,317560
2019,70,247119
2019,75,160573
2019,80,100445
2019,85,107655
2020,0,322010
2020,5,311642
2020,10,322892
2020,15,315760
2020,20,327266
2020,25,370879
2020,30,367761
2020,35,358676
2020,40,338634
2020,45,326265
2020,50,316570
2020,55,328607
2020,60,341951
2020,65,327043
2020,70,262617
2020,75,169791
2020,80,103621
2020,85,109003
2021,0,326128
2021,5,316364
2021,10,322289
2021,15,317817
2021,20,327773
2021,25,371084
2021,30,375842
2021,35,363547
2021,40,344697
2021,45,330303
2021,50,318966
2021,55,326259
2021,60,339664
2021,65,328721
2021,70,270664
2021,75,180650
2021,80,109800
2021,85,112009
2022,0,330298
2022,5,321157
2022,10,321687
2022,15,319887
2022,20,328281
2022,25,371289
2022,30,384100
2022,35,368484
2022,40,350868
2022,45,334391
2022,50,321381
2022,55,323928
2022,60,337393
2022,65,330408
2022,70,278958
2022,75,192203
2022,80,116347
2022,85,115098
2023,0,334522
2023,5,326023
2023,10,321086
2023,15,321971
2023,20,328790
2023,25,371494
2023,30,392540
2023,35,373488
2023,40,357150
2023,45,338529
2023,50,323814
2023,55,321614
2023,60,335137
2023,65,332103
2023,70,287506
2023,75,204495
2023,80,123285
2023,85,118272
2024,0,338800
2024,5,330962
2024,10,320486
2024,15,324068
2024,20,329299
2024,25,371699
2024,30,401165
2024,35,378560
2024,40,363544
2024,45,342718
2024,50,326265
2024,55,319316
2024,60,332896
2024,65,333807
2024,70,296316
2024,75,217573
2024,80,130636
2024,85,121534
2025,0,343132
2025,5,335976
2025,10,319886
2025,15,326180
2025,20,329809
2025,25,371904
2025,30,409979
2025,35,383699
2025,40,370052
2025,45,346959
2025,50,328735
2025,55,317035
2025,60,330670
2025,65,335519
2025,70,305396
2025,75,231488
2025,80,138425
2025,85,124886
2026,0,345583
2026,5,340193
2026,10,324673
2026,15,325471
2026,20,331805
2026,25,372377
2026,30,410158
