FROMNODE,TONODE,DIRECTION,STATIONNUMBER,xHwyName,xMP,AutoAWDT,TruckAWDT,AWDT_YEAR,EV1_DirPdFactor,EA_DirPdFactor,AM_DirPdFactor,MD_DirPdFactor,PM_DirPdFactor,EV2_DirPdFactor,xTVT_GR,xSWIM_GR,xSWIM_PopEmpControl,GrowthRate
11950,11949,IN,1,I-5 N,70,7000,2500,2010,0.026829824,0.064249702,0.073509666,0.52670315,0.131564947,0.177142713,0.005,0.0125,0.01,0.01
11945,11946,OUT,1,I-5 N,70,7000,2500,2010,0.025407282,0.065446096,0.059968847,0.547750372,0.138259027,0.163168379,0.005,0.0125,0.01,0.01
50639,13783,IN,2,OR227,45,130,55,2010,0.004048583,0.085020243,0.078947369,0.558704454,0.14777328,0.125506073,NA,0.005,-0.005,0.005
13783,50639,OUT,2,OR227,45,130,55,2010,0.012295082,0.118852459,0.063524591,0.56147541,0.108606558,0.135245901,NA,0.005,-0.005,0.005
11555,11554,IN,3,OR62,28,1175,225,2010,0.008796956,0.061103186,0.06252972,0.592011412,0.142296719,0.133262007,0.002,0.015,0.0125,0.01
11554,11555,OUT,3,OR62,28,1175,225,2010,0.008796956,0.061103186,0.06252972,0.592011412,0.142296719,0.133262007,0.002,0.015,0.0125,0.01
15066,15065,IN,4,OR140,8,1350,150,2010,0.01478237,0.073911854,0.080481796,0.569395018,0.1342732,0.127155763,0.0015625,0.01,0.005,0.005
15065,15066,OUT,4,OR140,8,1350,150,2010,0.01478237,0.073911854,0.080481796,0.569395018,0.1342732,0.127155763,0.0015625,0.01,0.005,0.005
15009,50653,IN,5,OR66,6,270,30,2010,0.003821656,0.039490446,0.08343949,0.558598726,0.142038217,0.172611465,0.00776699,0.01,0.001,0.005
50653,15009,OUT,5,OR66,6,270,30,2010,0.003821656,0.039490446,0.08343949,0.558598726,0.142038217,0.172611465,0.00776699,0.01,0.001,0.005
50705,15016,IN,6,I-5 S,5,4550,2750,2010,0.029149857,0.045687492,0.05033984,0.569094608,0.136626322,0.169101878,0.007594937,0.015,0.0125,0.01
33692,33693,OUT,6,I-5 S,5,4550,2750,2010,0.030824317,0.062582704,0.065774111,0.530532421,0.123958901,0.186327548,0.007594937,0.015,0.0125,0.01
11673,50609,IN,7,US199,10,3300,700,2010,0.01073132,0.057896132,0.06763381,0.602543722,0.129372019,0.131823,0.001855288,0.02,0.005,0.01
50609,11673,OUT,7,US199,10,3300,700,2010,0.01073132,0.057896132,0.06763381,0.602543722,0.129372019,0.131823,0.001855288,0.02,0.005,0.01
