,VLDR,LDR,MLDR,MDR,MHDR,HDR,VHDR,MURL,MURM,MURMH,MURH,MURVH,MUREH,CC,CG,CN,CO,PF,POS,IC,IO,IL,IH,FUD,MFL10,EFU20,EFU40,EFU80,EFU160,FF20,FF40,FF80,FF160,SF80,PF80,RR10,RR5,RR2,RR1,RC,UCRC,RI,UCRI,OSC,MA,CE,CS,BD,RNG,FOR,IRM,CEE,CPE,O,WATER
FLR MH,M,M,M,M,M,M,M,L,VL,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VL,NP,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,VH,NP,NP
FLR MF,NP,NP,NP,NP,H,VH,VH,H,H,VH,VH,VH,VH,VL,VL,NP,NP,NP,NP,NP,NP,NP,NP,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,VH,NP,NP
FLR AT,L,L,L,L,M,H,M,M,H,M,VL,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,VH,NP,NP
FLR SFD,VH,VH,VH,H,M,L,VL,H,L,VL,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,VH,NP,NP
FLR RRMH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,VL,VL,VL,VL,VL,VL,VL,VL,VL,VL,VL,VH,VH,VH,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,L,VH,VH,NP,NP
FLR RRSFD,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,VL,VL,VL,VL,VL,VL,VL,VL,VL,VL,VL,VH,VH,VH,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,L,VH,VH,NP,NP
FLR Accommodation,NP,NP,NP,NP,NP,NP,NP,M,M,H,VH,VH,VH,VH,M,M,VH,NP,NP,NP,NP,NP,NP,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,H,H,L,L,NP,NP,NP,NP,NP,NP,NP,VL,VH,VH,NP,NP
FLR Government Support,NP,NP,NP,NP,NP,NP,NP,M,M,H,H,H,H,H,L,H,H,H,NP,M,M,M,L,VH,VL,VL,VL,VL,VL,VL,VL,VL,VL,VL,VL,NP,NP,NP,NP,M,M,L,L,NP,NP,NP,NP,NP,NP,NP,NP,VH,VH,NP,NP
FLR K12,M,M,M,M,M,M,M,M,M,M,M,M,M,L,VL,H,L,H,NP,NP,NP,NP,NP,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VH,VH,L,L,NP,NP,NP,NP,NP,NP,NP,L,VH,VH,NP,NP
FLR Heavy Industry,NP,NP,NP,NP,NP,NP,NP,VL,NP,NP,NP,NP,NP,NP,L,NP,NP,NP,NP,M,M,M,VH,VH,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,VL,VL,VH,VH,NP,NP,NP,NP,NP,NP,NP,NP,VH,VH,NP,NP
