Activity,TotalAmount
sctg01_fkp_lvsk_expt,783397217.8
sctg01_fkp_lvsk_impt,1079176408
sctg02_fkp_agri_cereal_expt,584204283.8
sctg02_fkp_agri_cereal_impt,1008741453
sctg03_fkp_agri_other_expt,5411470174
sctg03_fkp_agri_other_impt,2835442434
sctg04_fkp_feed_expt,734711317.5
sctg04_fkp_feed_impt,1208675471
sctg05_fkp_food_meat_expt,3732972438
sctg05_fkp_food_meat_impt,4551222669
sctg06_fkp_agri_grain_expt,1903824834
sctg06_fkp_agri_grain_impt,1839604358
sctg07_fkp_food_prep_expt,17407605701
sctg07_fkp_food_prep_impt,12629028741
sctg08_fkp_food_alc_expt,2333237673
sctg08_fkp_food_alc_impt,2394862760
sctg10_cms_clay_expt,179260938.2
sctg10_cms_clay_impt,276280721
sctg11_cms_sand_expt,198799767.1
sctg11_cms_sand_impt,174839426.9
sctg13_cms_mine_nonmet_expt,29503374.85
sctg13_cms_mine_nonmet_impt,122922672.9
sctg14_cms_mine_met_expt,998188015.8
sctg14_cms_mine_met_impt,637874162.4
sctg15_pcc_coal_expt,50473382.63
sctg15_pcc_coal_impt,841217433.8
sctg16_pcc_petr_crude_expt,457790853.6
sctg16_pcc_petr_crude_impt,1098374444
sctg17_pcc_fuel_expt,196245973.8
sctg17_pcc_fuel_impt,5888627700
sctg18_pcc_petr_oil_expt,98122981.77
sctg18_pcc_petr_oil_impt,2944719080
sctg19_pcc_coal_prod_expt,979587578.2
sctg19_pcc_coal_prod_impt,5068009999
sctg20_pcc_chem_basic_expt,1881111161
sctg20_pcc_chem_basic_impt,3067569609
sctg21_pcc_chem_pharma_expt,1141841646
sctg21_pcc_chem_pharma_impt,6528711305
sctg22_pcc_chem_fert_expt,753204625.7
sctg22_pcc_chem_fert_impt,778941112.3
sctg23_pcc_chem_prod_expt,1779387818
sctg23_pcc_chem_prod_impt,3980267557
sctg24_pcc_petr_plast_expt,3399326582
sctg24_pcc_petr_plast_impt,6030402756
sctg25_fwp_logs_expt,1757887150
sctg25_fwp_logs_impt,2198535780
sctg26_fwp_wood_expt,6749871070
sctg26_fwp_wood_impt,2549023829
sctg27_ppp_papr_puplp_expt,5830079992
sctg27_ppp_papr_puplp_impt,1976871075
sctg28_ppp_papr_paper_expt,1895359336
sctg28_ppp_papr_paper_impt,2480349326
sctg29_ppp_papr_print_expt,1857426294
sctg29_ppp_papr_print_impt,2630052668
sctg30_oth_clth_expt,834524757
sctg30_oth_clth_impt,3982386888
sctg31_cms_min_expt,2442530715
sctg31_cms_min_impt,3006802409
sctg32_mit_metl_base_expt,5348836121
sctg32_mit_metl_base_impt,6485270589
sctg33_mit_metl_prod_expt,4165114862
sctg33_mit_metl_prod_impt,4521145980
sctg34_mit_mach_expt,6152716164
sctg34_mit_mach_impt,9120012770
sctg35_mit_elct_expt,38033038206
sctg35_mit_elct_impt,17994048855
sctg36_mit_tran_expt,4273681586
sctg36_mit_tran_impt,8319220958
sctg37_mit_inst_transp_expt,2971725624
sctg37_mit_inst_transp_impt,2311711231
sctg38_mit_inst_prec_expt,3734184639
sctg38_mit_inst_prec_impt,3692315639
sctg39_oth_furn_expt,1616175369
sctg39_oth_furn_impt,2509193084
sctg40_oth_misc_expt,2690377568
sctg40_oth_misc_impt,5678823703
sctg41_waste_scrap_expt,504779225.4
sctg41_waste_scrap_impt,483380626.3
MFG_food_hi,10394443450
MFG_food_li,10394443450
MFG_htec_hi,16693589271
MFG_htec_li,16693589271
MFG_hvtw_hi,12436153847
MFG_hvtw_li,12436153847
MFG_lvtw_hi,11646481322
MFG_offc_off,10201927169
MFG_wdppr_hi,10321130435
RES_agmin_ag,9169315027
RES_forst_log,1045888781
RES_offc_off,697534989.5
RET_auto_ret,6123270545
RET_nstor_off,3317238347
RET_stor_off,1274732977
RET_stor_ret,13455261540
SERV_bus_off,18102406413
SERV_home_xxx,266412648
SERV_nonp_off_inst,5287835134
SERV_site_li,4955111532
SERV_stor_ret,3023555189
SERV_tech_off,28680072151
TRNS_trns_off,1862824697
TRNS_trns_ware,12904472264
UTL_othr_off,1039173440
UTL_othr_off_li,7815200847
WHSL_offc_off,1475711914
WHSL_whsl_ware,16877228682
CNST_main_xxx,4956291129
CNST_nres_xxx,4423919570
CNST_offc_off,2284637889
CNST_othr_xxx,5452956890
CNST_res_xxx,7689614182
ENGY_elec_hi,9532715414
ENGY_ngas_hi,804785264
ENGY_offc_off,1749303671
ENGY_ptrl_hi,3972161470
ENT_ent_ret,3910264596
FIRE_fnin_off,22799272105
FIRE_real_off,22824050810
GOV_admn_gov,13534723660
GOV_offc_off,7115909755
HIED_hied_off_inst,2540502453
HLTH_care_inst,3355149100
HLTH_hosp_hosp,10227460571
HLTH_othr_off_li,14307085087
HOSP_acc_acc,2069334851
HOSP_eat_ret_acc,11497946853
INFO_info_off,2775573040
INFO_info_off_li,14676917587
K12_k12_k12,11479394649
K12_k12_off,2525343991
HH0to8k1to2,68950
HH0to8k3plus,16656
HH106kUp1to2,165455
HH106kUp3plus,207096
HH15to23k1to2,139387
HH15to23k3plus,45143
HH23to32k1to2,144817
HH23to32k3plus,58219
HH32to46k1to2,196240
HH32to46k3plus,102211
HH46to61k1to2,153937
HH46to61k3plus,101123
HH61to76k1to2,120591
HH61to76k3plus,89932
HH76to106k1to2,140645
HH76to106k3plus,135588
HH8to15k1to2,120115
HH8to15k3plus,25582
accommodations_expt,2364146213
accommodations_impt,2817317971
communications_and_utilities_expt,22405983569
communications_and_utilities_impt,24649465301
construction_expt,27027338035
construction_impt,31502184344
education_reports_to_sponsors_expt,15455012318
education_reports_to_sponsors_impt,17388277672
energy_expt,12739830956
energy_impt,12036623605
entertainment_services_expt,5128716271
entertainment_services_impt,5302437658
fire_business_and_professional_services_expt,1.21E+11
fire_business_and_professional_services_impt,1.23E+11
food_services_expt,13815958018
food_services_impt,13119043770
government_administration_expt,16172807526
government_administration_impt,16172807186
health_services_expt,40959514180
health_services_impt,42425534422
higher_education_expt,4819337897
higher_education_impt,6162717913
personal_and_other_services_and_amusements_expt,10406624276
personal_and_other_services_and_amusements_impt,13139221347
retail_trade_expt,28539765551
retail_trade_impt,29703283109
transport_expt,15727051983
transport_impt,14979770279
wholesale_trade_expt,25019268710
wholesale_trade_impt,26566756939
FGOV_acct_gov,84161434992
SLGOV_acct_gov,64480712154
CAP_acct_gov,54781655368
