taz,commodity,quantity
1,FLR MH,5429
1,FLR MF,360616.8
1,FLR AT,6674
1,FLR SFD,1548
1,FLR RRMH,10000
1,FLR RRSFD,18060.7
1,FLR Accommodation,1197932.13
1,FLR Government Support,1741.23
1,FLR K12,4128529.24
1,FLR Heavy Industry,112
1,FLR Hospital,281.99
1,FLR Institutional,14911.64
1,FLR Light Industry,78
1,FLR Office,6001901.54
1,FLR Retail,735338.04
1,FLR Warehouse,164
1,FLR Agriculture,100
1,FLR Logging,100
2,FLR MH,4874
2,FLR MF,38883.1
2,FLR AT,5972
2,FLR SFD,1385
2,FLR RRMH,8948
2,FLR RRSFD,16164.8
2,FLR Accommodation,39682.37
2,FLR Government Support,598.9
2,FLR K12,113185
2,FLR Heavy Industry,112
2,FLR Hospital,513.73
2,FLR Institutional,4396.36
2,FLR Light Industry,78
2,FLR Office,4095644.8
2,FLR Retail,104870.57
2,FLR Warehouse,164
2,FLR Agriculture,100
2,FLR Logging,100
3,FLR MH,1165
3,FLR MF,4576.4
3,FLR AT,1428
3,FLR SFD,331
3,FLR RRMH,2139
3,FLR RRSFD,3875
3,FLR Accommodation,19131.71
3,FLR Government Support,428.83
3,FLR K12,7710.58
3,FLR Heavy Industry,112
3,FLR Hospital,513.82
3,FLR Institutional,3519.85
3,FLR Light Industry,78
3,FLR Office,1115868.28
3,FLR Retail,29251.06
3,FLR Warehouse,164
3,FLR Agriculture,100
3,FLR Logging,100
4,FLR MH,5447
4,FLR MF,698266.8
4,FLR AT,6674
4,FLR SFD,1548
4,FLR RRMH,10000
4,FLR RRSFD,18060.7
4,FLR Accommodation,131037.09
4,FLR Government Support,428.83
4,FLR K12,7710.58
4,FLR Heavy Industry,112
4,FLR Hospital,513.82
4,FLR Institutional,3868.77
4,FLR Light Industry,78
4,FLR Office,637502.33
4,FLR Retail,173931.13
4,FLR Warehouse,164
4,FLR Agriculture,100
4,FLR Logging,100
5,FLR MH,5447
5,FLR MF,406848
5,FLR AT,6674
5,FLR SFD,1548
5,FLR RRMH,10000
5,FLR RRSFD,18060.7
5,FLR Accommodation,8694.65
5,FLR Government Support,428.83
5,FLR K12,7710.58
5,FLR Heavy Industry,112
5,FLR Hospital,513.82
5,FLR Institutional,2142.93
5,FLR Light Industry,78
5,FLR Office,86197.48
5,FLR Retail,16549
5,FLR Warehouse,164
5,FLR Agriculture,100
5,FLR Logging,100
6,FLR MH,5447
6,FLR MF,332057.8
6,FLR AT,6674
6,FLR SFD,1548
6,FLR RRMH,10000
6,FLR RRSFD,18060.7
6,FLR Accommodation,4641.53
6,FLR Government Support,428.83
6,FLR K12,7710.58
6,FLR Heavy Industry,112
6,FLR Hospital,513.82
6,FLR Institutional,1563.41
6,FLR Light Industry,78
6,FLR Office,18116.24
6,FLR Retail,11486.57
6,FLR Warehouse,164
6,FLR Agriculture,100
6,FLR Logging,100
7,FLR MH,5447
7,FLR MF,428156.1
7,FLR AT,6674
7,FLR SFD,1548
7,FLR RRMH,10000
7,FLR RRSFD,18060.7
7,FLR Accommodation,4641.53
7,FLR Government Support,9611.78
7,FLR K12,7710.58
7,FLR Heavy Industry,112
7,FLR Hospital,513.82
7,FLR Institutional,1842.31
7,FLR Light Industry,78
7,FLR Office,224933.47
7,FLR Retail,114805.8
7,FLR Warehouse,164
7,FLR Agriculture,100
7,FLR Logging,100
8,FLR MH,5447
8,FLR MF,1931721.8
8,FLR AT,6674
8,FLR SFD,1548
8,FLR RRMH,10000
8,FLR RRSFD,18060.7
8,FLR Accommodation,166650.49
8,FLR Government Support,428.82
8,FLR K12,161829.19
8,FLR Heavy Industry,112
8,FLR Hospital,513.82
8,FLR Institutional,4983.69
8,FLR Light Industry,78
8,FLR Office,1357241.87
8,FLR Retail,465520.23
8,FLR Warehouse,164
8,FLR Agriculture,100
8,FLR Logging,100
9,FLR MH,5447
9,FLR MF,718716.8
9,FLR AT,6674
9,FLR SFD,1548
9,FLR RRMH,10000
9,FLR RRSFD,18060.7
9,FLR Accommodation,285535.36
9,FLR Government Support,428.83
9,FLR K12,9978.4
9,FLR Heavy Industry,112
9,FLR Hospital,513.82
9,FLR Institutional,4801.39
