Activity,OptionName,OptionWeight,SCTG01_FKP_LVSK,SCTG02_FKP_AGRI_cereal,SCTG03_FKP_AGRI_other,SCTG04_FKP_FEED,SCTG05_FKP_FOOD_meat,SCTG06_FKP_AGRI_grain,SCTG07_FKP_FOOD_prep,SCTG08_FKP_FOOD_alc,SCTG10_CMS_CLAY,SCTG11_CMS_SAND,SCTG13_CMS_MINE_nonmet,SCTG14_CMS_MINE_met,SCTG15_PCC_COAL,SCTG16_PCC_PETR_crude,SCTG17_PCC_FUEL,SCTG18_PCC_PETR_oil,SCTG19_PCC_COAL_prod,SCTG20_PCC_CHEM_basic,SCTG21_PCC_CHEM_pharma,SCTG22_PCC_CHEM_fert,SCTG23_PCC_CHEM_prod,SCTG24_PCC_PETR_plast,SCTG25_FWP_LOGS,SCTG26_FWP_WOOD,SCTG27_PPP_PAPR_puplp,SCTG28_PPP_PAPR_paper,SCTG29_PPP_PAPR_print,SCTG30_OTH_CLTH,SCTG31_CMS_MIN,SCTG32_MIT_METL_base,SCTG33_MIT_METL_prod,SCTG34_MIT_MACH,SCTG35_MIT_ELCT,SCTG36_MIT_TRAN,SCTG37_MIT_INST_transp,SCTG38_MIT_INST_prec,SCTG39_OTH_FURN,SCTG40_OTH_MISC,SCTG41_WASTE_SCRAP,Energy,Retail Trade,Transport,Wholesale Trade,Construction,Communications and Utilities,Accommodations,Personal and Other Services and Amusements,Entertainment Services,Food Services,Teaching K12,Higher Education,Health Services,Fire Business and Professional Services,Government Administration,Internal Services Resources,Internal Services Energy,Internal Services Construction,Internal Services Manufacturing,Internal Services Wholesale,Internal Services Retail Store,Internal ServicesTransport,Internal Services Information,Internal Services Utilities,Internal Services Education k12,Internal Services Government Administration,Government Support Receipts,Tax Receipts,Investing Receipts,Return Investment Receipts,Capital Transfer Receipts,Education Reports to Sponsors,Proprietor Income Receipts,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled,SCTG01_FKP_LVSK:1,SCTG02_FKP_AGRI_cereal:1,SCTG03_FKP_AGRI_other:1,SCTG04_FKP_FEED:1,SCTG05_FKP_FOOD_meat:1,SCTG06_FKP_AGRI_grain:1,SCTG07_FKP_FOOD_prep:1,SCTG08_FKP_FOOD_alc:1,SCTG10_CMS_CLAY:1,SCTG11_CMS_SAND:1,SCTG13_CMS_MINE_nonmet:1,SCTG14_CMS_MINE_met:1,SCTG15_PCC_COAL:1,SCTG16_PCC_PETR_crude:1,SCTG17_PCC_FUEL:1,SCTG18_PCC_PETR_oil:1,SCTG19_PCC_COAL_prod:1,SCTG20_PCC_CHEM_basic:1,SCTG21_PCC_CHEM_pharma:1,SCTG22_PCC_CHEM_fert:1,SCTG23_PCC_CHEM_prod:1,SCTG24_PCC_PETR_plast:1,SCTG25_FWP_LOGS:1,SCTG26_FWP_WOOD:1,SCTG27_PPP_PAPR_puplp:1,SCTG28_PPP_PAPR_paper:1,SCTG29_PPP_PAPR_print:1,SCTG30_OTH_CLTH:1,SCTG31_CMS_MIN:1,SCTG32_MIT_METL_base:1,SCTG33_MIT_METL_prod:1,SCTG34_MIT_MACH:1,SCTG35_MIT_ELCT:1,SCTG36_MIT_TRAN:1,SCTG37_MIT_INST_transp:1,SCTG38_MIT_INST_prec:1,SCTG39_OTH_FURN:1,SCTG40_OTH_MISC:1,SCTG41_WASTE_SCRAP:1,Energy:1,Retail Trade:1,Transport:1,Wholesale Trade:1,Construction:1,Communications and Utilities:1,Accommodations:1,Personal and Other Services and Amusements:1,Entertainment Services:1,Food Services:1,Teaching K12:1,Higher Education:1,Health Services:1,Fire Business and Professional Services:1,Government Administration:1,Internal Services Resources:1,Internal Services Energy:1,Internal Services Construction:1,Internal Services Manufacturing:1,Internal Services Wholesale:1,Internal Services Retail Store:1,Internal ServicesTransport:1,Internal Services Information:1,Internal Services Utilities:1,Internal Services Education k12:1,Internal Services Government Administration:1,Government Support Receipts:1,Tax Receipts:1,Investing Receipts:1,Return Investment Receipts:1,Capital Transfer Receipts:1,Education Reports to Sponsors:1,Proprietor Income Receipts:1,A1-Mgmt Bus:1,B1-Prof Specialty:1,B2-Education:1,B3-Health:1,B4-Technical Unskilled:1,C1-Sales Clerical Professionals:1,C2-Sales Service:1,C3-Clerical:1,C4-Sales Clerical Unskilled:1,D1-Production Specialists:1,D2-MaintConstRepair Specialists:1,D3-ProtectTrans Specialists:1,D4-Blue Collar Unskilled:1,FLR Agriculture:1,FLR Logging:1,FLR Hospital:1,FLR Retail:1,FLR Office:1,FLR Heavy Industry:1,FLR Light Industry:1,FLR Warehouse:1,FLR Institutional:1,FLR Accommodation:1,FLR Government Support:1,FLR K12:1,FLR SFD:1,FLR AT:1,FLR MH:1,FLR RRMH:1,FLR RRSFD:1,FLR MF:1
HH0to8k1to2,cluster_70,1.56E+26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42998123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45397.57539,0,0,3680.196609,973.3045065,0,0,18.68930853,68.75022834,51.90936295,0,76.21240231,19.57721505,82.74743605,66.96427586,189.4376974,11.86830189,23.46782491,18.4921788,146.4741704,-11.03344597,-5.232491291,-239.8019764,-176.3333665,-568.6445081,-310.6061054,-1602.344089,-599.4567054,-2.283171109,-0.719697209,-0.05162927,0,-0.009161228,0,-524.0823831,-262.0789411,-289.4292205,-7.730823683,-1051.886761,-5.078707073,-327.704656,-124.2232294,0,-29.64623878,-60.47423837,-92.04575221,-233.1811491,-768.601158,-51.35302025,-4.222214123,-46.9457946,-288.1642825,-1133.403396,-249.0716047,-66.40564355,-187.3265897,-368.8885174,-782.3103109,0,-1291.973885,-5554.969659,-1333.581269,-1312.626325,-1159.253801,-2269.261007,-1127.597466,-2729.524239,-1068.989182,-2671.552148,-752.456079,-4882.12892,-8592.764537,-7788.540626,0,0,0,0,0,0,0,0,0,0,0,0,0,-677.3590694,0,-3008.563655,-292.210838,-134.1255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999.2843137,0,0,0,0
HH0to8k1to2,cluster_1239,1.26E+28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42998123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45397.57539,0,0,3680.196609,973.3045065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.03344597,-5.232491291,-239.8019764,-176.3333665,-568.6445081,-310.6061054,-1602.344089,-599.4567054,-2.283171109,-0.719697209,-0.05162927,0,-0.009161228,0,-524.0823831,-262.0789411,-289.4292205,-7.730823683,-1051.886761,-5.078707073,-327.704656,-124.2232294,0,-29.64623878,-60.47423837,-92.04575221,-233.1811491,-768.601158,-51.35302025,-4.222214123,-46.9457946,-288.1642825,-1133.403396,-249.0716047,-66.40564355,-187.3265897,-368.8885174,-782.3103109,0,-1291.973885,-5554.969659,-1333.581269,-1312.626325,-1159.253801,-2269.261007,-1127.597466,-2729.524239,-1068.989182,-2671.552148,-752.456079,-4882.12892,-8592.764537,-7788.540626,0,0,0,0,0,0,0,0,0,0,0,0,0,-677.3590694,0,-3008.563655,-292.210838,-134.1255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2466.857143,0,0,0,0
HH0to8k1to2,cluster_1709,4.41E+27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42998123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45397.57539,0,0,3680.196609,973.3045065,0,0,106.8148524,37.91738201,69.77602215,18.58921821,80.98425238,64.2313484,149.9904628,76.46336536,117.2822587,0,10.13957357,0,104.3950942,-11.03344597,-5.232491291,-239.8019764,-176.3333665,-568.6445081,-310.6061054,-1602.344089,-599.4567054,-2.283171109,-0.719697209,-0.05162927,0,-0.009161228,0,-524.0823831,-262.0789411,-289.4292205,-7.730823683,-1051.886761,-5.078707073,-327.704656,-124.2232294,0,-29.64623878,-60.47423837,-92.04575221,-233.1811491,-768.601158,-51.35302025,-4.222214123,-46.9457946,-288.1642825,-1133.403396,-249.0716047,-66.40564355,-187.3265897,-368.8885174,-782.3103109,0,-1291.973885,-5554.969659,-1333.581269,-1312.626325,-1159.253801,-2269.261007,-1127.597466,-2729.524239,-1068.989182,-2671.552148,-752.456079,-4882.12892,-8592.764537,-7788.540626,0,0,0,0,0,0,0,0,0,0,0,0,0,-677.3590694,0,-3008.563655,-292.210838,-134.1255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1522.210938,0,0,0,0
HH0to8k1to2,cluster_23,1.95E+28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42998123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45397.57539,0,0,3680.196609,973.3045065,0,0,56.96458856,28.77090611,12.93206232,3.629626739,122.2365949,29.68964816,64.4704241,102.8054948,179.2774535,22.27374437,35.76652101,12.70292657,231.1055037,-11.03344597,-5.232491291,-239.8019764,-176.3333665,-568.6445081,-310.6061054,-1602.344089,-599.4567054,-2.283171109,-0.719697209,-0.05162927,0,-0.009161228,0,-524.0823831,-262.0789411,-289.4292205,-7.730823683,-1051.886761,-5.078707073,-327.704656,-124.2232294,0,-29.64623878,-60.47423837,-92.04575221,-233.1811491,-768.601158,-51.35302025,-4.222214123,-46.9457946,-288.1642825,-1133.403396,-249.0716047,-66.40564355,-187.3265897,-368.8885174,-782.3103109,0,-1291.973885,-5554.969659,-1333.581269,-1312.626325,-1159.253801,-2269.261007,-1127.597466,-2729.524239,-1068.989182,-2671.552148,-752.456079,-4882.12892,-8592.764537,-7788.540626,0,0,0,0,0,0,0,0,0,0,0,0,0,-677.3590694,0,-3008.563655,-292.210838,-134.1255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-733.2075188
HH0to8k1to2,cluster_396,1.89E+29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42998123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45397.57539,0,0,3680.196609,973.3045065,0,0,0,0,0,0,297.6272383,0,0,0,0,0,0,0,0,-11.03344597,-5.232491291,-239.8019764,-176.3333665,-568.6445081,-310.6061054,-1602.344089,-599.4567054,-2.283171109,-0.719697209,-0.05162927,0,-0.009161228,0,-524.0823831,-262.0789411,-289.4292205,-7.730823683,-1051.886761,-5.078707073,-327.704656,-124.2232294,0,-29.64623878,-60.47423837,-92.04575221,-233.1811491,-768.601158,-51.35302025,-4.222214123,-46.9457946,-288.1642825,-1133.403396,-249.0716047,-66.40564355,-187.3265897,-368.8885174,-782.3103109,0,-1291.973885,-5554.969659,-1333.581269,-1312.626325,-1159.253801,-2269.261007,-1127.597466,-2729.524239,-1068.989182,-2671.552148,-752.456079,-4882.12892,-8592.764537,-7788.540626,0,0,0,0,0,0,0,0,0,0,0,0,0,-677.3590694,0,-3008.563655,-292.210838,-134.1255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4717.25
HH0to8k1to2,cluster_657,1.32E+26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42998123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45397.57539,0,0,3680.196609,973.3045065,0,0,10.60954829,60.41553683,30.71766705,10.71559973,72.12949275,47.75538793,120.9279953,33.86421409,131.6525482,43.0590113,11.2688508,25.80591416,194.7315071,-11.03344597,-5.232491291,-239.8019764,-176.3333665,-568.6445081,-310.6061054,-1602.344089,-599.4567054,-2.283171109,-0.719697209,-0.05162927,0,-0.009161228,0,-524.0823831,-262.0789411,-289.4292205,-7.730823683,-1051.886761,-5.078707073,-327.704656,-124.2232294,0,-29.64623878,-60.47423837,-92.04575221,-233.1811491,-768.601158,-51.35302025,-4.222214123,-46.9457946,-288.1642825,-1133.403396,-249.0716047,-66.40564355,-187.3265897,-368.8885174,-782.3103109,0,-1291.973885,-5554.969659,-1333.581269,-1312.626325,-1159.253801,-2269.261007,-1127.597466,-2729.524239,-1068.989182,-2671.552148,-752.456079,-4882.12892,-8592.764537,-7788.540626,0,0,0,0,0,0,0,0,0,0,0,0,0,-677.3590694,0,-3008.563655,-292.210838,-134.1255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-410.751634
HH0to8k1to2,cluster_667,2.56E+29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42998123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45397.57539,0,0,3680.196609,973.3045065,0,0,55.56557033,88.69940293,17.53988641,5.80005849,82.88782235,74.21933193,44.38544526,89.20763711,312.4407719,43.57922007,1.853008119,40.27029831,267.783931,-11.03344597,-5.232491291,-239.8019764,-176.3333665,-568.6445081,-310.6061054,-1602.344089,-599.4567054,-2.283171109,-0.719697209,-0.05162927,0,-0.009161228,0,-524.0823831,-262.0789411,-289.4292205,-7.730823683,-1051.886761,-5.078707073,-327.704656,-124.2232294,0,-29.64623878,-60.47423837,-92.04575221,-233.1811491,-768.601158,-51.35302025,-4.222214123,-46.9457946,-288.1642825,-1133.403396,-249.0716047,-66.40564355,-187.3265897,-368.8885174,-782.3103109,0,-1291.973885,-5554.969659,-1333.581269,-1312.626325,-1159.253801,-2269.261007,-1127.597466,-2729.524239,-1068.989182,-2671.552148,-752.456079,-4882.12892,-8592.764537,-7788.540626,0,0,0,0,0,0,0,0,0,0,0,0,0,-677.3590694,0,-3008.563655,-292.210838,-134.1255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1002.807692
HH0to8k1to2,cluster_1375,1.05E+29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42998123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45397.57539,0,0,3680.196609,973.3045065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.03344597,-5.232491291,-239.8019764,-176.3333665,-568.6445081,-310.6061054,-1602.344089,-599.4567054,-2.283171109,-0.719697209,-0.05162927,0,-0.009161228,0,-524.0823831,-262.0789411,-289.4292205,-7.730823683,-1051.886761,-5.078707073,-327.704656,-124.2232294,0,-29.64623878,-60.47423837,-92.04575221,-233.1811491,-768.601158,-51.35302025,-4.222214123,-46.9457946,-288.1642825,-1133.403396,-249.0716047,-66.40564355,-187.3265897,-368.8885174,-782.3103109,0,-1291.973885,-5554.969659,-1333.581269,-1312.626325,-1159.253801,-2269.261007,-1127.597466,-2729.524239,-1068.989182,-2671.552148,-752.456079,-4882.12892,-8592.764537,-7788.540626,0,0,0,0,0,0,0,0,0,0,0,0,0,-677.3590694,0,-3008.563655,-292.210838,-134.1255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3047.833333
HH0to8k1to2,cluster_1957,5.17E+28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42998123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45397.57539,0,0,3680.196609,973.3045065,0,0,124.9656518,0,0,0,459.9133211,0,159.9972509,355.1188236,45.92237892,0,0,0,140.5601215,-11.03344597,-5.232491291,-239.8019764,-176.3333665,-568.6445081,-310.6061054,-1602.344089,-599.4567054,-2.283171109,-0.719697209,-0.05162927,0,-0.009161228,0,-524.0823831,-262.0789411,-289.4292205,-7.730823683,-1051.886761,-5.078707073,-327.704656,-124.2232294,0,-29.64623878,-60.47423837,-92.04575221,-233.1811491,-768.601158,-51.35302025,-4.222214123,-46.9457946,-288.1642825,-1133.403396,-249.0716047,-66.40564355,-187.3265897,-368.8885174,-782.3103109,0,-1291.973885,-5554.969659,-1333.581269,-1312.626325,-1159.253801,-2269.261007,-1127.597466,-2729.524239,-1068.989182,-2671.552148,-752.456079,-4882.12892,-8592.764537,-7788.540626,0,0,0,0,0,0,0,0,0,0,0,0,0,-677.3590694,0,-3008.563655,-292.210838,-134.1255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1441.868421
HH0to8k1to2,cluster_53,9.21E+25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42998123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45397.57539,0,0,3680.196609,973.3045065,0,0,128.6720504,8.476558161,136.8610953,0,0,0,0,9.253063531,106.7851441,0,0,0,209.9090494,-11.03344597,-5.232491291,-239.8019764,-176.3333665,-568.6445081,-310.6061054,-1602.344089,-599.4567054,-2.283171109,-0.719697209,-0.05162927,0,-0.009161228,0,-524.0823831,-262.0789411,-289.4292205,-7.730823683,-1051.886761,-5.078707073,-327.704656,-124.2232294,0,-29.64623878,-60.47423837,-92.04575221,-233.1811491,-768.601158,-51.35302025,-4.222214123,-46.9457946,-288.1642825,-1133.403396,-249.0716047,-66.40564355,-187.3265897,-368.8885174,-782.3103109,0,-1291.973885,-5554.969659,-1333.581269,-1312.626325,-1159.253801,-2269.261007,-1127.597466,-2729.524239,-1068.989182,-2671.552148,-752.456079,-4882.12892,-8592.764537,-7788.540626,0,0,0,0,0,0,0,0,0,0,0,0,0,-677.3590694,0,-3008.563655,-292.210838,-134.1255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1025.219512,0,0,0
