Service Area,State,Agency,City,UZA Name,UZA Population,2020 Annual Vehicle Revenue Miles
0,Unknown,Unknown,Unknown,Unknown,99980001,9999
1,WA,RiverCities Transit,Longview,"Longview, WA-OR",63952,529
3,WA,Ben Franklin Transit,Richland,"Kennewick-Pasco, WA",210975,8330
4,WA,Clark County Public Transportation Benefit Area Authority,Vancouver,"Portland, OR-WA",1849898,5645
5,OR,Tri-County Metropolitan Transportation District of Oregon,Portland,"Portland, OR-WA",1712837,48115
6,OR,South Metro Area Regional Transit,Wilsonville,"Portland, OR-WA",1849898,530
7,OR,Salem Area Mass Transit District,Salem,"Salem, OR",267311,9346
8,OR,Benton County,Corvallis,"Corvallis, OR",83347,958
9,OR,Lane Transit District,Eugene,"Eugene, OR",266439,11114
10,OR,Central Oregon Intergovernmental Council,Bend,"Bend, OR",97699,1189
11,OR,Josephine County,Grants Pass,"Grants Pass, OR",46962,572
12,OR,Rogue Valley Transportation District,Medford,"Medford, OR",152216,1680
13,OR,City of Albany,Albany,"Albany, OR",52759,481
14,OR,City of Milton-Freewater,MiltonFreewater,"Walla Walla, WA-OR",55805,30
15,ID,Valley Regional Transit(VRT),Meridian,"Boise City, ID",349684,1730
