Year,SI,NED,ALD,POPSIMSPG1,AA,POPSIMSPG2,PT,CT,TA,TR,PT - Logsums Only,SL - Generate Select Link Data,SL - Append Select Link To Trips,VIZ,MICROVIZ,SWIMR_reference,SWIMR_compare,SWIMR_PopEmp
18,,,,,i,,,,,,,,,,,,,
19,1,1,i,i,1,i,i,i,i,i,i,,,,,,,
20,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
21,1,1,1,1,1,,,,,,,,,,,,,
22,1,1,1,1,1,,,,,,,,,,,,,
23,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
24,1,1,1,1,1,,,,,,,,,,,,,
25,1,1,1,1,1,,,,,,,,,,,,,
26,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
27,1,1,1,1,1,,,,,,,,,,,,,
28,1,1,1,1,1,,,,,,,,,,,,,
29,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,
