BETA,RRA,Agg,StAgg,COUNTY
1,Metro,ValleyTotal,Oregon,Ignore
17,Metro,ValleyTotal,Oregon,Ignore
19,Metro,ValleyTotal,Oregon,Ignore
31,Metro,ValleyTotal,Oregon,Ignore
37,Metro,ValleyTotal,Oregon,Ignore
79,Metro,ValleyTotal,Oregon,Ignore
81,Metro,ValleyTotal,Oregon,Ignore
89,Metro,ValleyTotal,Oregon,Ignore
104,Metro,ValleyTotal,Oregon,Ignore
114,Metro,ValleyTotal,Oregon,Ignore
117,Metro,ValleyTotal,Oregon,Ignore
150,Metro,ValleyTotal,Oregon,Ignore
154,Metro,ValleyTotal,Oregon,Ignore
161,Metro,ValleyTotal,Oregon,Ignore
223,Metro,ValleyTotal,Oregon,Ignore
229,Metro,ValleyTotal,Oregon,Ignore
244,Metro,ValleyTotal,Oregon,Ignore
267,Metro,ValleyTotal,Oregon,Ignore
271,Metro,ValleyTotal,Oregon,Ignore
273,Metro,ValleyTotal,Oregon,Ignore
290,Metro,ValleyTotal,Oregon,Ignore
294,Metro,ValleyTotal,Oregon,Ignore
323,Metro,ValleyTotal,Oregon,Ignore
355,Metro,ValleyTotal,Oregon,Ignore
361,Metro,ValleyTotal,Oregon,Ignore
385,Metro,ValleyTotal,Oregon,Ignore
404,Metro,ValleyTotal,Oregon,Ignore
405,Metro,ValleyTotal,Oregon,Ignore
411,Metro,ValleyTotal,Oregon,Ignore
418,Metro,ValleyTotal,Oregon,Ignore
441,Metro,ValleyTotal,Oregon,Ignore
444,Metro,ValleyTotal,Oregon,Ignore
468,Metro,ValleyTotal,Oregon,Ignore
481,Metro,ValleyTotal,Oregon,Ignore
499,Metro,ValleyTotal,Oregon,Ignore
504,Metro,ValleyTotal,Oregon,Ignore
536,Metro,ValleyTotal,Oregon,Ignore
542,Metro,ValleyTotal,Oregon,Ignore
570,Metro,ValleyTotal,Oregon,Ignore
575,Metro,ValleyTotal,Oregon,Ignore
618,Metro,ValleyTotal,Oregon,Ignore
623,Metro,ValleyTotal,Oregon,Ignore
636,Metro,ValleyTotal,Oregon,Ignore
714,Metro,ValleyTotal,Oregon,Ignore
715,Metro,ValleyTotal,Oregon,Ignore
721,Metro,ValleyTotal,Oregon,Ignore
727,Metro,ValleyTotal,Oregon,Ignore
733,Metro,ValleyTotal,Oregon,Ignore
763,Metro,ValleyTotal,Oregon,Ignore
776,Metro,ValleyTotal,Oregon,Ignore
851,Metro,ValleyTotal,Oregon,Ignore
852,Metro,ValleyTotal,Oregon,Ignore
866,Metro,ValleyTotal,Oregon,Ignore
869,Metro,ValleyTotal,Oregon,Ignore
905,Metro,ValleyTotal,Oregon,Ignore
970,VA,Halo,Ignore,Ignore
991,VA,Halo,Ignore,Ignore
1000,VA,Halo,Ignore,Ignore
1002,VA,Halo,Ignore,Ignore
1025,VA,Halo,Ignore,Ignore
1044,VA,Halo,Ignore,Ignore
1114,VA,Halo,Ignore,Ignore
1131,VA,Halo,Ignore,Ignore
1153,VA,Halo,Ignore,Ignore
1175,VA,Halo,Ignore,Ignore
1177,VA,Halo,Ignore,Ignore
1292,Metro,ValleyTotal,Oregon,Ignore
1301,MWV,ValleyTotal,Oregon,Ignore
1303,MWV,ValleyTotal,Oregon,Ignore
1313,MWV,ValleyTotal,Oregon,Ignore
1314,MWV,ValleyTotal,Oregon,Ignore
1316,MWV,ValleyTotal,Oregon,Ignore
1318,MWV,ValleyTotal,Oregon,Ignore
1324,MWV,ValleyTotal,Oregon,Ignore
1328,MWV,ValleyTotal,Oregon,Ignore
1337,MWV,ValleyTotal,Oregon,Ignore
1364,MWV,ValleyTotal,Oregon,Ignore
1369,MWV,ValleyTotal,Oregon,Ignore
1374,MWV,ValleyTotal,Oregon,Ignore
1394,MWV,ValleyTotal,Oregon,Ignore
1401,MWV,ValleyTotal,Oregon,Ignore
1408,MWV,ValleyTotal,Oregon,Ignore
1415,MWV,ValleyTotal,Oregon,Ignore
1437,MWV,ValleyTotal,Oregon,Ignore
1453,MWV,ValleyTotal,Oregon,Ignore
1466,MWV,ValleyTotal,Oregon,Ignore
1468,MWV,ValleyTotal,Oregon,Ignore
1470,MWV,ValleyTotal,Oregon,Ignore
1501,MWV,ValleyTotal,Oregon,Ignore
1502,MWV,ValleyTotal,Oregon,Ignore
1503,MWV,ValleyTotal,Oregon,Ignore
1505,MWV,ValleyTotal,Oregon,Ignore
1525,MWV,ValleyTotal,Oregon,Ignore
1553,MWV,ValleyTotal,Oregon,Ignore
1562,MWV,ValleyTotal,Oregon,Ignore
1588,MWV,ValleyTotal,Oregon,Ignore
1598,MWV,ValleyTotal,Oregon,Ignore
1617,MWV,ValleyTotal,Oregon,Ignore
1630,MWV,ValleyTotal,Oregon,Ignore
1639,MWV,ValleyTotal,Oregon,Ignore
1650,MWV,ValleyTotal,Oregon,Ignore
1658,MWV,ValleyTotal,Oregon,Ignore
1701,SV,ValleyTotal,Oregon,Ignore
1702,SV,ValleyTotal,Oregon,Ignore
1706,SV,ValleyTotal,Oregon,Ignore
1710,SV,ValleyTotal,Oregon,Ignore
1715,SV,ValleyTotal,Oregon,Ignore
1717,SV,ValleyTotal,Oregon,Ignore
1719,SV,ValleyTotal,Oregon,Ignore
1720,SV,ValleyTotal,Oregon,Ignore
1723,SV,ValleyTotal,Oregon,Ignore
1724,SV,ValleyTotal,Oregon,Ignore
1726,SV,ValleyTotal,Oregon,Ignore
1728,SV,ValleyTotal,Oregon,Ignore
1732,SV,ValleyTotal,Oregon,Ignore
1736,Central_Coast,CoastTotal,Oregon,Ignore
1752,SV,ValleyTotal,Oregon,Ignore
1774,Central_Coast,CoastTotal,Oregon,Ignore
1775,Central_Coast,CoastTotal,Oregon,Ignore
2009,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2011,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2018,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2023,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2025,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2028,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2031,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2035,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2042,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2045,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2046,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2051,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2056,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2059,Clatsop_Tillamook,CoastTotal,Oregon,Ignore
2063,Central_Coast,CoastTotal,Oregon,Ignore
2072,Central_Coast,CoastTotal,Oregon,Ignore
2073,Central_Coast,CoastTotal,Oregon,Ignore
2076,Central_Coast,CoastTotal,Oregon,Ignore
2092,MWV,ValleyTotal,Oregon,Ignore
2094,Central_Coast,CoastTotal,Oregon,Ignore
2098,Central_Coast,CoastTotal,Oregon,Ignore
2109,Central_Coast,CoastTotal,Oregon,Ignore
2111,Central_Coast,CoastTotal,Oregon,Ignore
2112,Central_Coast,CoastTotal,Oregon,Ignore
2119,Coos_Curry,CoastTotal,Oregon,Coos
2122,Coos_Curry,CoastTotal,Oregon,Coos
2123,Coos_Curry,CoastTotal,Oregon,Coos
2126,Coos_Curry,CoastTotal,Oregon,Coos
2134,Coos_Curry,CoastTotal,Oregon,Coos
2139,Coos_Curry,CoastTotal,Oregon,Coos
2148,Coos_Curry,CoastTotal,Oregon,Coos
2156,Coos_Curry,CoastTotal,Oregon,Coos
2162,Coos_Curry,CoastTotal,Oregon,Coos
2167,Coos_Curry,CoastTotal,Oregon,Coos
2169,Coos_Curry,CoastTotal,Oregon,Coos
2173,Coos_Curry,CoastTotal,Oregon,Coos
2180,Coos_Curry,CoastTotal,Oregon,Curry
2184,Coos_Curry,CoastTotal,Oregon,Curry
2185,Coos_Curry,CoastTotal,Oregon,Curry
2186,Coos_Curry,CoastTotal,Oregon,Curry
2190,Coos_Curry,CoastTotal,Oregon,Curry
2194,Metro,ValleyTotal,Oregon,Ignore
2195,Metro,ValleyTotal,Oregon,Ignore
2198,Metro,ValleyTotal,Oregon,Ignore
2204,Metro,ValleyTotal,Oregon,Ignore
2208,Metro,ValleyTotal,Oregon,Ignore
2209,Metro,ValleyTotal,Oregon,Ignore
2216,Metro,ValleyTotal,Oregon,Ignore
2218,Metro,ValleyTotal,Oregon,Ignore
2224,MWV,ValleyTotal,Oregon,Ignore
2225,MWV,ValleyTotal,Oregon,Ignore
2227,MWV,ValleyTotal,Oregon,Ignore
2229,MWV,ValleyTotal,Oregon,Ignore
2231,MWV,ValleyTotal,Oregon,Ignore
2235,MWV,ValleyTotal,Oregon,Ignore
2238,MWV,ValleyTotal,Oregon,Ignore
2242,MWV,ValleyTotal,Oregon,Ignore
2244,MWV,ValleyTotal,Oregon,Ignore
2245,MWV,ValleyTotal,Oregon,Ignore
2247,MWV,ValleyTotal,Oregon,Ignore
2248,MWV,ValleyTotal,Oregon,Ignore
2249,MWV,ValleyTotal,Oregon,Ignore
2254,MWV,ValleyTotal,Oregon,Ignore
2268,MWV,ValleyTotal,Oregon,Ignore
2271,MWV,ValleyTotal,Oregon,Ignore
2274,MWV,ValleyTotal,Oregon,Ignore
2278,MWV,ValleyTotal,Oregon,Ignore
2280,MWV,ValleyTotal,Oregon,Ignore
2283,MWV,ValleyTotal,Oregon,Ignore
2286,MWV,ValleyTotal,Oregon,Ignore
2287,MWV,ValleyTotal,Oregon,Ignore
2288,MWV,ValleyTotal,Oregon,Ignore
2300,MWV,ValleyTotal,Oregon,Ignore
2301,MWV,ValleyTotal,Oregon,Ignore
2304,MWV,ValleyTotal,Oregon,Ignore
2305,MWV,ValleyTotal,Oregon,Ignore
2311,MWV,ValleyTotal,Oregon,Ignore
2315,MWV,ValleyTotal,Oregon,Ignore
2317,MWV,ValleyTotal,Oregon,Ignore
2319,MWV,ValleyTotal,Oregon,Ignore
2324,MWV,ValleyTotal,Oregon,Ignore
2326,MWV,ValleyTotal,Oregon,Ignore
2330,MWV,ValleyTotal,Oregon,Ignore
2333,MWV,ValleyTotal,Oregon,Ignore
2334,MWV,ValleyTotal,Oregon,Ignore
2337,MWV,ValleyTotal,Oregon,Ignore
2342,MWV,ValleyTotal,Oregon,Ignore
2343,MWV,ValleyTotal,Oregon,Ignore
2344,MWV,ValleyTotal,Oregon,Ignore
2353,MWV,ValleyTotal,Oregon,Ignore
2355,MWV,ValleyTotal,Oregon,Ignore
2362,MWV,ValleyTotal,Oregon,Ignore
2366,MWV,ValleyTotal,Oregon,Ignore
2367,MWV,ValleyTotal,Oregon,Ignore
2370,MWV,ValleyTotal,Oregon,Ignore
2374,MWV,ValleyTotal,Oregon,Ignore
2376,MWV,ValleyTotal,Oregon,Ignore
2383,MWV,ValleyTotal,Oregon,Ignore
2412,MWV,ValleyTotal,Oregon,Ignore
2420,MWV,ValleyTotal,Oregon,Ignore
2426,MWV,ValleyTotal,Oregon,Ignore
2431,MWV,ValleyTotal,Oregon,Ignore
2455,MWV,ValleyTotal,Oregon,Ignore
2456,MWV,ValleyTotal,Oregon,Ignore
2461,MWV,ValleyTotal,Oregon,Ignore
2462,MWV,ValleyTotal,Oregon,Ignore
2465,MWV,ValleyTotal,Oregon,Ignore
2475,MWV,ValleyTotal,Oregon,Ignore
2487,MWV,ValleyTotal,Oregon,Ignore
2489,MWV,ValleyTotal,Oregon,Ignore
2497,MWV,ValleyTotal,Oregon,Ignore
2498,MWV,ValleyTotal,Oregon,Ignore
2502,MWV,ValleyTotal,Oregon,Ignore
2509,MWV,ValleyTotal,Oregon,Ignore
2512,MWV,ValleyTotal,Oregon,Ignore
2514,MWV,ValleyTotal,Oregon,Ignore
2524,MWV,ValleyTotal,Oregon,Ignore
2528,MWV,ValleyTotal,Oregon,Ignore
2531,MWV,ValleyTotal,Oregon,Ignore
2532,MWV,ValleyTotal,Oregon,Ignore
2533,MWV,ValleyTotal,Oregon,Ignore
2534,MWV,ValleyTotal,Oregon,Ignore
2537,MWV,ValleyTotal,Oregon,Ignore
2544,MWV,ValleyTotal,Oregon,Ignore
2548,MWV,ValleyTotal,Oregon,Ignore
2550,MWV,ValleyTotal,Oregon,Ignore
