tnum,tname,fnum,fname,records,key_fld
1,ALLZONES,1,Azone,3004,KEYS
1,ALLZONES,2,BZONE,3004,NULL
1,ALLZONES,3,STATE,3004,NULL
1,ALLZONES,4,COUNTY,3004,NULL
1,ALLZONES,5,AREASQFT,3004,FLDS
1,ALLZONES,6,MPO,3004,NULL
1,ALLZONES,7,ACT,3004,NULL
1,ALLZONES,8,MPOmodeledzones,3004,NULL
2,AZONE,1,AZONE,32846,KEYS
2,AZONE,2,POPULATION,32846,FLDS
2,AZONE,3,EMPLOYMENT,32846,FLDS
2,AZONE,4,AVGHHINC,32846,FLDS
2,AZONE,5,TOTALHHS,32846,FLDS
2,AZONE,6,TOTALPERSONS,32846,FLDS
2,AZONE,7,TOTALWORKERS,32846,FLDS
2,AZONE,8,HH0TO8K1TO2,32846,FLDS
2,AZONE,9,HH0TO8K3PLUS,32846,FLDS
2,AZONE,10,HH8TO15K1TO2,32846,FLDS
2,AZONE,11,HH8TO15K3PLUS,32846,FLDS
2,AZONE,12,HH15TO23K1TO2,32846,FLDS
2,AZONE,13,HH15TO23K3PLUS,32846,FLDS
2,AZONE,14,HH23TO32K1TO2,32846,FLDS
2,AZONE,15,HH23TO32K3PLUS,32846,FLDS
2,AZONE,16,HH32TO46K1TO2,32846,FLDS
2,AZONE,17,HH32TO46K3PLUS,32846,FLDS
2,AZONE,18,HH46TO61K1TO2,32846,FLDS
2,AZONE,19,HH46TO61K3PLUS,32846,FLDS
2,AZONE,20,HH61TO76K1TO2,32846,FLDS
2,AZONE,21,HH61TO76K3PLUS,32846,FLDS
2,AZONE,22,HH76TO106K1TO2,32846,FLDS
2,AZONE,23,HH76TO106K3PLUS,32846,FLDS
2,AZONE,24,HH106KUP1TO2,32846,FLDS
2,AZONE,25,HH106KUP3PLUS,32846,FLDS
2,AZONE,26,PERSON0TO5,32846,FLDS
2,AZONE,27,PERSON5TO10,32846,FLDS
2,AZONE,28,PERSON10TO15,32846,FLDS
2,AZONE,29,PERSON15TO21,32846,FLDS
2,AZONE,30,PERSON21TO40,32846,FLDS
2,AZONE,31,PERSON40TO60,32846,FLDS
2,AZONE,32,PERSON60PLUS,32846,FLDS
2,AZONE,33,TSTEP,32846,NULL
3,ActivityLocations,1,BZONE,3035008,KEYS
3,ActivityLocations,2,ACTIVITY,3035008,KEYS
3,ActivityLocations,3,QUANTITY,3035008,FLDS
3,ActivityLocations,4,LaborUseQty,3035008,FLDS
3,ActivityLocations,5,Employment,3035008,FLDS
3,ActivityLocations,6,QUANTITY_CON,3035008,FLDS
3,ActivityLocations,7,TSTEP,3035008,NULL
4,BZONE,1,BZONE,536,KEYS
4,BZONE,2,STATE,536,NULL
4,BZONE,3,COUNTY,536,NULL
4,BZONE,4,AREASQFT,536,FLDS
4,BZONE,5,MPO,536,NULL
4,BZONE,6,ACT,536,FLDS
5,BuySellMatrix,1,FROMBZONE,9193472,KEYS
5,BuySellMatrix,2,TOBZONE,9193472,KEYS
