ActivityNumber,Activity
0,RES_agmin_ag
1,RES_forst_log
2,RES_offc_off
3,ENGY_elec_hi
4,ENGY_ngas_hi
5,ENGY_ptrl_hi
6,ENGY_offc_off
7,CNST_main_xxx
8,CNST_nres_xxx
9,CNST_othr_xxx
10,CNST_res_xxx
11,CNST_offc_off
12,MFG_food_hi
13,MFG_food_li
14,MFG_htec_hi
15,MFG_htec_li
16,MFG_hvtw_hi
17,MFG_hvtw_li
18,MFG_lvtw_hi
19,MFG_wdppr_hi
20,MFG_offc_off
21,WHSL_whsl_ware
22,WHSL_offc_off
23,RET_auto_ret
24,RET_stor_ret
25,RET_stor_off
26,RET_nstor_off
27,TRNS_trns_ware
28,TRNS_trns_off
29,INFO_info_off_li
30,INFO_info_off
31,UTL_othr_off_li
32,UTL_othr_off
33,FIRE_fnin_off
34,FIRE_real_off
35,HLTH_hosp_hosp
36,HLTH_care_inst
37,HLTH_othr_off_li
38,K12_k12_k12
39,K12_k12_off
40,HIED_hied_off_inst
41,ENT_ent_ret
42,HOSP_acc_acc
43,HOSP_eat_ret_acc
44,SERV_tech_off
45,SERV_site_li
46,SERV_home_xxx
47,SERV_bus_off
48,SERV_nonp_off_inst
49,SERV_stor_ret
50,GOV_admn_gov
51,GOV_offc_off
52,FGOV_acct_gov
53,SLGOV_acct_gov
54,CAP_acct_gov
55,HH0to8k1to2
56,HH0to8k3plus
57,HH8to15k1to2
58,HH8to15k3plus
59,HH15to23k1to2
60,HH15to23k3plus
61,HH23to32k1to2
62,HH23to32k3plus
63,HH32to46k1to2
64,HH32to46k3plus
65,HH46to61k1to2
66,HH46to61k3plus
67,HH61to76k1to2
68,HH61to76k3plus
69,HH76to106k1to2
70,HH76to106k3plus
71,HH106kUp1to2
72,HH106kUp3plus
73,sctg01_fkp_lvsk_impt
74,sctg02_fkp_agri_cereal_impt
75,sctg03_fkp_agri_other_impt
76,sctg04_fkp_feed_impt
77,sctg05_fkp_food_meat_impt
78,sctg06_fkp_agri_grain_impt
79,sctg07_fkp_food_prep_impt
80,sctg08_fkp_food_alc_impt
81,sctg10_cms_clay_impt
82,sctg11_cms_sand_impt
83,sctg13_cms_mine_nonmet_impt
84,sctg14_cms_mine_met_impt
85,sctg15_pcc_coal_impt
86,sctg16_pcc_petr_crude_impt
87,sctg17_pcc_fuel_impt
88,sctg18_pcc_petr_oil_impt
89,sctg19_pcc_coal_prod_impt
90,sctg20_pcc_chem_basic_impt
91,sctg21_pcc_chem_pharma_impt
92,sctg22_pcc_chem_fert_impt
93,sctg23_pcc_chem_prod_impt
94,sctg24_pcc_petr_plast_impt
95,sctg25_fwp_logs_impt
96,sctg26_fwp_wood_impt
97,sctg27_ppp_papr_puplp_impt
98,sctg28_ppp_papr_paper_impt
99,sctg29_ppp_papr_print_impt
100,sctg30_oth_clth_impt
101,sctg31_cms_min_impt
102,sctg32_mit_metl_base_impt
103,sctg33_mit_metl_prod_impt
104,sctg34_mit_mach_impt
105,sctg35_mit_elct_impt
106,sctg36_mit_tran_impt
107,sctg37_mit_inst_transp_impt
108,sctg38_mit_inst_prec_impt
109,sctg39_oth_furn_impt
110,sctg40_oth_misc_impt
111,sctg41_waste_scrap_impt
112,energy_impt
113,retail_trade_impt
114,transport_impt
115,wholesale_trade_impt
116,construction_impt
117,communications_and_utilities_impt
118,accommodations_impt
119,personal_and_other_services_and_amusements_impt
120,entertainment_services_impt
121,food_services_impt
122,higher_education_impt
123,health_services_impt
124,fire_business_and_professional_services_impt
125,government_administration_impt
126,education_reports_to_sponsors_impt
127,sctg01_fkp_lvsk_expt
128,sctg02_fkp_agri_cereal_expt
129,sctg03_fkp_agri_other_expt
130,sctg04_fkp_feed_expt
131,sctg05_fkp_food_meat_expt
132,sctg06_fkp_agri_grain_expt
133,sctg07_fkp_food_prep_expt
134,sctg08_fkp_food_alc_expt
135,sctg10_cms_clay_expt
136,sctg11_cms_sand_expt
137,sctg13_cms_mine_nonmet_expt
138,sctg14_cms_mine_met_expt
139,sctg15_pcc_coal_expt
140,sctg16_pcc_petr_crude_expt
141,sctg17_pcc_fuel_expt
142,sctg18_pcc_petr_oil_expt
143,sctg19_pcc_coal_prod_expt
144,sctg20_pcc_chem_basic_expt
145,sctg21_pcc_chem_pharma_expt
146,sctg22_pcc_chem_fert_expt
147,sctg23_pcc_chem_prod_expt
148,sctg24_pcc_petr_plast_expt
149,sctg25_fwp_logs_expt
150,sctg26_fwp_wood_expt
151,sctg27_ppp_papr_puplp_expt
152,sctg28_ppp_papr_paper_expt
153,sctg29_ppp_papr_print_expt
154,sctg30_oth_clth_expt
155,sctg31_cms_min_expt
156,sctg32_mit_metl_base_expt
157,sctg33_mit_metl_prod_expt
158,sctg34_mit_mach_expt
159,sctg35_mit_elct_expt
160,sctg36_mit_tran_expt
161,sctg37_mit_inst_transp_expt
162,sctg38_mit_inst_prec_expt
163,sctg39_oth_furn_expt
164,sctg40_oth_misc_expt
165,sctg41_waste_scrap_expt
166,energy_expt
167,retail_trade_expt
168,transport_expt
169,wholesale_trade_expt
170,construction_expt
171,communications_and_utilities_expt
172,accommodations_expt
173,personal_and_other_services_and_amusements_expt
174,entertainment_services_expt
175,food_services_expt
176,higher_education_expt
177,health_services_expt
178,fire_business_and_professional_services_expt
179,government_administration_expt
180,education_reports_to_sponsors_expt
