Azone,RET_nstor_off,MFG_lvtw_hi,RET_stor_ret,K12_k12_k12,no_industry,RES_forst_log,MFG_offc_off,HLTH_care_inst,RES_agmin_ag,MFG_wdppr_hi,SERV_home_xxx,MFG_hvtw_hi,FIRE_real_off,SERV_bus_off,MFG_hvtw_li,K12_k12_off,SERV_tech_off,RES_offc_off,ENGY_elec_hi,ENGY_offc_off,INFO_info_off_li,ENGY_ngas_hi,UTL_othr_off_li,SERV_site_li,HOSP_acc_acc,RET_auto_ret,GOV_offc_off,CNST_res_xxx,MFG_food_hi,UTL_othr_off,CNST_othr_xxx,CNST_nres_xxx,CNST_offc_off,RET_stor_off,HLTH_hosp_hosp,ENGY_ptrl_hi,MFG_food_li,CNST_main_xxx,TRNS_trns_ware,WHSL_offc_off,MFG_htec_li,SERV_nonp_off_inst,GOV_admn_gov,TRNS_trns_off,MFG_htec_hi,HIED_hied_off_inst,SERV_stor_ret,WHSL_whsl_ware,HOSP_eat_ret_acc,HLTH_othr_off_li,INFO_info_off,ENT_ent_ret,FIRE_fnin_off,Total
4157,2.0,1.0,14.0,46.0,0,0.0,38.0,14.0,23.0,1.0,0.0,3.0,17.0,19.0,5.0,9.0,37.0,10.0,0.0,6.0,1.0,0.0,0.0,12.0,3.0,9.0,13.0,3.0,3.0,3.0,8.0,6.0,14.0,6.0,15.0,1.0,5.0,1.0,11.0,3.0,0.0,13.0,10.0,5.0,0.0,25.0,4.0,8.0,16.0,27.0,13.0,11.0,26.0,520.0
4070,324.0,91.0,2015.0,1423.0,0,48.0,1636.0,666.0,533.0,168.0,172.0,150.0,746.0,892.0,152.0,416.0,1398.0,501.0,9.0,138.0,67.0,4.0,79.0,365.0,205.0,630.0,961.0,147.0,153.0,135.0,179.0,129.0,510.0,497.0,779.0,29.0,97.0,113.0,300.0,231.0,28.0,777.0,300.0,406.0,20.0,905.0,588.0,593.0,2055.0,1450.0,497.0,690.0,767.0,26164.0
4069,231.0,65.0,1109.0,1271.0,0,24.0,1249.0,497.0,349.0,134.0,90.0,125.0,560.0,608.0,107.0,282.0,1099.0,356.0,11.0,101.0,35.0,3.0,68.0,269.0,128.0,418.0,639.0,105.0,78.0,68.0,123.0,88.0,357.0,333.0,561.0,19.0,78.0,97.0,206.0,186.0,10.0,597.0,210.0,269.0,17.0,661.0,363.0,492.0,1267.0,1056.0,373.0,512.0,564.0,18518.0
4068,306.0,115.0,1368.0,1133.0,0,60.0,2046.0,732.0,598.0,186.0,141.0,200.0,969.0,1071.0,204.0,497.0,1870.0,673.0,18.0,185.0,89.0,3.0,103.0,370.0,208.0,625.0,1131.0,208.0,136.0,133.0,223.0,183.0,716.0,638.0,1071.0,36.0,173.0,168.0,413.0,368.0,29.0,802.0,441.0,450.0,37.0,861.0,399.0,738.0,1638.0,1829.0,567.0,731.0,1042.0,28931.0
4067,70.0,32.0,303.0,212.0,0,20.0,322.0,146.0,165.0,64.0,29.0,60.0,210.0,248.0,64.0,89.0,338.0,106.0,6.0,25.0,23.0,1.0,38.0,121.0,55.0,156.0,203.0,53.0,25.0,20.0,45.0,51.0,97.0,98.0,175.0,2.0,30.0,42.0,108.0,47.0,13.0,151.0,130.0,75.0,6.0,199.0,150.0,178.0,303.0,346.0,121.0,139.0,172.0,5882.0
4061,252.0,53.0,1341.0,644.0,0,20.0,963.0,507.0,299.0,83.0,95.0,73.0,532.0,647.0,94.0,266.0,913.0,314.0,9.0,85.0,33.0,0.0,39.0,226.0,143.0,412.0,660.0,99.0,95.0,60.0,100.0,80.0,320.0,332.0,557.0,13.0,84.0,91.0,174.0,166.0,14.0,562.0,176.0,291.0,14.0,519.0,417.0,363.0,1369.0,1000.0,312.0,462.0,531.0,16904.0
4060,16.0,12.0,65.0,187.0,0,4.0,69.0,28.0,40.0,21.0,9.0,16.0,42.0,52.0,16.0,12.0,73.0,13.0,2.0,4.0,7.0,0.0,7.0,31.0,17.0,37.0,43.0,15.0,19.0,5.0,16.0,12.0,12.0,21.0,26.0,1.0,12.0,19.0,41.0,6.0,1.0,36.0,31.0,18.0,1.0,88.0,18.0,40.0,62.0,56.0,24.0,35.0,34.0,1472.0
4059,5.0,11.0,34.0,12.0,0,1.0,9.0,10.0,24.0,13.0,6.0,11.0,8.0,21.0,4.0,8.0,22.0,6.0,0.0,2.0,2.0,1.0,0.0,12.0,4.0,20.0,9.0,4.0,6.0,0.0,4.0,4.0,4.0,3.0,11.0,0.0,4.0,6.0,11.0,2.0,0.0,11.0,13.0,5.0,1.0,9.0,6.0,12.0,26.0,22.0,5.0,11.0,8.0,443.0
4058,33.0,10.0,168.0,196.0,0,5.0,298.0,102.0,39.0,21.0,25.0,13.0,117.0,124.0,14.0,68.0,283.0,91.0,1.0,48.0,10.0,0.0,6.0,41.0,22.0,68.0,123.0,11.0,12.0,25.0,23.0,18.0,94.0,86.0,103.0,8.0,15.0,12.0,24.0,51.0,0.0,112.0,40.0,55.0,4.0,110.0,42.0,94.0,193.0,218.0,72.0,94.0,149.0,3591.0
4057,1.0,4.0,6.0,1.0,0,0.0,1.0,3.0,6.0,2.0,1.0,3.0,3.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,9.0,1.0,4.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,3.0,3.0,1.0,10.0,0.0,1.0,1.0,12.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,0.0,120.0
