ZoneNumber,Commodity,TargetPrice,Tolerance,region,type,confidence
1,FLR Hospital,20.94505501,10.47252751,Metro,Office,Medium
17,FLR Hospital,19.89897537,9.949487685,Metro,Office,Medium
19,FLR Hospital,19.89897537,9.949487685,Metro,Office,Medium
31,FLR Hospital,17.20428276,8.60214138,Metro,Office,Medium
37,FLR Hospital,15.93000031,7.965000155,Metro,Office,Medium
79,FLR Hospital,20.48999977,10.24499989,Metro,Office,Medium
81,FLR Hospital,16.56999969,8.284999845,Metro,Office,Medium
89,FLR Hospital,20.54000092,10.27000046,Metro,Office,Medium
104,FLR Hospital,20.48999977,10.24499989,Metro,Office,Medium
114,FLR Hospital,16.56999969,8.284999845,Metro,Office,Medium
117,FLR Hospital,20.01000023,10.00500012,Metro,Office,Medium
150,FLR Hospital,16.56999969,8.284999845,Metro,Office,Medium
154,FLR Hospital,16.56999969,8.284999845,Metro,Office,Medium
161,FLR Hospital,20.48999977,10.24499989,Metro,Office,Medium
223,FLR Hospital,20.48999977,10.24499989,Metro,Office,Medium
229,FLR Hospital,20.48999977,10.24499989,Metro,Office,Medium
244,FLR Hospital,20.48999977,10.24499989,Metro,Office,Medium
267,FLR Hospital,20.48999977,10.24499989,Metro,Office,Medium
271,FLR Hospital,20.48999977,10.24499989,Metro,Office,Medium
273,FLR Hospital,20.48999977,10.24499989,Metro,Office,Medium
290,FLR Hospital,21.06999969,10.53499985,Metro,Office,Medium
294,FLR Hospital,21.06999969,10.53499985,Metro,Office,Medium
323,FLR Hospital,26.13999939,13.0699997,Metro,Office,Medium
355,FLR Hospital,26.13999939,13.0699997,Metro,Office,Medium
361,FLR Hospital,26.13999939,13.0699997,Metro,Office,Medium
385,FLR Hospital,20.44000053,10.22000027,Metro,Office,Medium
404,FLR Hospital,17.47999954,8.73999977,Metro,Office,Medium
405,FLR Hospital,17.47999954,8.73999977,Metro,Office,Medium
411,FLR Hospital,17.47999954,8.73999977,Metro,Office,Medium
418,FLR Hospital,17.47999954,8.73999977,Metro,Office,Medium
441,FLR Hospital,22.34000015,11.17000008,Metro,Office,Medium
444,FLR Hospital,22.34000015,11.17000008,Metro,Office,Medium
468,FLR Hospital,15.51000023,7.755000115,Metro,Office,Medium
481,FLR Hospital,22.34000015,11.17000008,Metro,Office,Medium
499,FLR Hospital,17.47999954,8.73999977,Metro,Office,Medium
504,FLR Hospital,17.47999954,8.73999977,Metro,Office,Medium
536,FLR Hospital,17.47999954,8.73999977,Metro,Office,Medium
542,FLR Hospital,15.51000023,7.755000115,Metro,Office,Medium
570,FLR Hospital,15.51000023,7.755000115,Metro,Office,Medium
575,FLR Hospital,15.51000023,7.755000115,Metro,Office,Medium
618,FLR Hospital,19.42000008,9.71000004,Metro,Office,Medium
623,FLR Hospital,19.42000008,9.71000004,Metro,Office,Medium
636,FLR Hospital,15.51000023,7.755000115,Metro,Office,Medium
