taz,commodity,quantity
1,FLR MH,11.69574642
1,FLR MF,466939.6534
1,FLR AT,145.9370661
1,FLR SFD,461.9813387
1,FLR RRMH,88.28292654
1,FLR RRSFD,40.21668485
1,FLR Accommodation,1783092.588
1,FLR Government Support,2510.761095
1,FLR K12,1363401.327
1,FLR Heavy Industry,107.0755672
1,FLR Hospital,320.8310913
1,FLR Institutional,227608.4651
1,FLR Light Industry,84.94566475
1,FLR Office,5205058.83
1,FLR Retail,1085953.469
1,FLR Warehouse,133.8375687
1,FLR Agriculture,100.0
1,FLR Logging,100.0
2,FLR MH,11.69574642
2,FLR MF,44167.07939
2,FLR AT,145.9370661
2,FLR SFD,461.9813387
2,FLR RRMH,88.28292654
2,FLR RRSFD,40.21668485
2,FLR Accommodation,28097.53457
2,FLR Government Support,313.8482309
2,FLR K12,31342.56099
2,FLR Heavy Industry,107.0755672
2,FLR Hospital,111.24132
2,FLR Institutional,41329.37747
2,FLR Light Industry,84.94566475
2,FLR Office,2602526.315
2,FLR Retail,120548.6942
2,FLR Warehouse,133.8375687
2,FLR Agriculture,100.0
2,FLR Logging,100.0
3,FLR MH,11.69574642
3,FLR MF,6300.67093
3,FLR AT,145.9370661
3,FLR SFD,461.9813387
3,FLR RRMH,88.28292654
3,FLR RRSFD,40.21668485
3,FLR Accommodation,12341.12935
3,FLR Government Support,123.7620691
3,FLR K12,101.421372
3,FLR Heavy Industry,107.0755672
3,FLR Hospital,111.24132
3,FLR Institutional,29017.45335
3,FLR Light Industry,84.94566475
3,FLR Office,757297.7627
3,FLR Retail,23520.64052
3,FLR Warehouse,133.8375687
3,FLR Agriculture,100.0
3,FLR Logging,100.0
4,FLR MH,11.69574642
4,FLR MF,760193.7393
4,FLR AT,145.9370661
4,FLR SFD,461.9813387
4,FLR RRMH,88.28292654
4,FLR RRSFD,40.21668485
4,FLR Accommodation,91620.92065
4,FLR Government Support,123.7620691
4,FLR K12,101.421372
4,FLR Heavy Industry,107.0755672
4,FLR Hospital,111.24132
4,FLR Institutional,33926.28373
4,FLR Light Industry,84.94566475
4,FLR Office,436146.2497
4,FLR Retail,207597.659
4,FLR Warehouse,133.8375687
4,FLR Agriculture,100.0
4,FLR Logging,100.0
5,FLR MH,11.69574642
5,FLR MF,443618.1504
5,FLR AT,145.9370661
5,FLR SFD,461.9813387
5,FLR RRMH,88.28292654
5,FLR RRSFD,40.21668485
5,FLR Accommodation,3612.037846
5,FLR Government Support,123.7620691
5,FLR K12,101.421372
5,FLR Heavy Industry,107.0755672
5,FLR Hospital,111.24132
5,FLR Institutional,9672.484454
5,FLR Light Industry,84.94566475
5,FLR Office,53622.88256
5,FLR Retail,7036.051533
5,FLR Warehouse,133.8375687
5,FLR Agriculture,100.0
5,FLR Logging,100.0
6,FLR MH,11.69574642
6,FLR MF,361988.1051
6,FLR AT,145.9370661
6,FLR SFD,461.9813387
6,FLR RRMH,88.28292654
6,FLR RRSFD,40.21668485
6,FLR Accommodation,102.6754708
6,FLR Government Support,123.7620691
6,FLR K12,101.421372
6,FLR Heavy Industry,107.0755672
6,FLR Hospital,111.24132
6,FLR Institutional,99.10604253
6,FLR Light Industry,84.94566475
6,FLR Office,5276.082167
6,FLR Retail,450.1178072
6,FLR Warehouse,133.8375687
6,FLR Agriculture,100.0
6,FLR Logging,100.0
7,FLR MH,11.69574642
7,FLR MF,466842.2862
7,FLR AT,145.9370661
7,FLR SFD,461.9813387
7,FLR RRMH,88.28292654
7,FLR RRSFD,40.21668485
7,FLR Accommodation,102.6754708
7,FLR Government Support,10356.91736
7,FLR K12,101.421372
7,FLR Heavy Industry,107.0755672
7,FLR Hospital,111.24132
7,FLR Institutional,5444.268133
7,FLR Light Industry,84.94566475
7,FLR Office,151323.5797
7,FLR Retail,133153.475
7,FLR Warehouse,133.8375687
7,FLR Agriculture,100.0
7,FLR Logging,100.0
8,FLR MH,11.69574642
8,FLR MF,2084608.181
8,FLR AT,145.9370661
8,FLR SFD,461.9813387
8,FLR RRMH,88.28292654
8,FLR RRSFD,40.21668485
8,FLR Accommodation,116789.224
8,FLR Government Support,123.7620691
8,FLR K12,45446.71393
8,FLR Heavy Industry,107.0755672
8,FLR Hospital,111.24132
8,FLR Institutional,49559.90084
8,FLR Light Industry,84.94566475
8,FLR Office,916126.5484
8,FLR Retail,561510.2946
8,FLR Warehouse,133.8375687
8,FLR Agriculture,100.0
8,FLR Logging,100.0
9,FLR MH,11.69574642
9,FLR MF,782335.3076
9,FLR AT,145.9370661
9,FLR SFD,461.9813387
9,FLR RRMH,88.28292654
9,FLR RRSFD,40.21668485
9,FLR Accommodation,180063.7276
9,FLR Government Support,123.7620691
9,FLR K12,783.5612356
9,FLR Heavy Industry,107.0755672
9,FLR Hospital,111.24132
9,FLR Institutional,46995.15488
9,FLR Light Industry,84.94566475
9,FLR Office,2198492.615
9,FLR Retail,616368.4204
9,FLR Warehouse,133.8375687
9,FLR Agriculture,100.0
9,FLR Logging,100.0
10,FLR MH,11.69574642
10,FLR MF,779313.668
10,FLR AT,145.9370661
10,FLR SFD,461.9813387
10,FLR RRMH,88.28292654
10,FLR RRSFD,40.21668485
10,FLR Accommodation,447992.1835
10,FLR Government Support,123.7620691
10,FLR K12,1431504.217
10,FLR Heavy Industry,107.0755672
10,FLR Hospital,111.24132
10,FLR Institutional,287623.3907
10,FLR Light Industry,84.94566475
10,FLR Office,3468190.498
10,FLR Retail,551323.1125
10,FLR Warehouse,133.8375687
10,FLR Agriculture,100.0
10,FLR Logging,100.0
11,FLR MH,11.69574642
11,FLR MF,1823194.467
11,FLR AT,145.9370661
11,FLR SFD,461.9813387
11,FLR RRMH,88.28292654
11,FLR RRSFD,40.21668485
11,FLR Accommodation,85986.50742
11,FLR Government Support,123.7620691
11,FLR K12,3134.255085
11,FLR Heavy Industry,107.0755672
11,FLR Hospital,111.24132
11,FLR Institutional,97491.9539
11,FLR Light Industry,84.94566475
11,FLR Office,249693.3035
11,FLR Retail,299656.1491
11,FLR Warehouse,133.8375687
11,FLR Agriculture,100.0
11,FLR Logging,100.0
12,FLR MH,11.69574642
12,FLR MF,882386.098
12,FLR AT,145.9370661
12,FLR SFD,461.9813387
12,FLR RRMH,88.28292654
12,FLR RRSFD,40.21668485
12,FLR Accommodation,88614.12984
12,FLR Government Support,71288.03652
12,FLR K12,774743.189
12,FLR Heavy Industry,107.0755672
12,FLR Hospital,214808.8545
12,FLR Institutional,119863.6549
12,FLR Light Industry,84.94566475
12,FLR Office,5458251.549
12,FLR Retail,151764.4089
12,FLR Warehouse,133.8375687
12,FLR Agriculture,100.0
12,FLR Logging,100.0
13,FLR MH,11.69574642
13,FLR MF,189269.6594
13,FLR AT,145.9370661
13,FLR SFD,461.9813387
13,FLR RRMH,88.28292654
13,FLR RRSFD,40.21668485
13,FLR Accommodation,114927.1906
13,FLR Government Support,123.7620691
13,FLR K12,229584.2432
13,FLR Heavy Industry,107.0755672
13,FLR Hospital,111.24132
13,FLR Institutional,29185.58557
13,FLR Light Industry,84.94566475
13,FLR Office,1269811.902
13,FLR Retail,61358.17843
13,FLR Warehouse,133.8375687
13,FLR Agriculture,100.0
13,FLR Logging,100.0
14,FLR MH,11.69574642
14,FLR MF,290658.6729
14,FLR AT,53760.44756
14,FLR SFD,461.9813387
14,FLR RRMH,88.28292654
14,FLR RRSFD,40.21668485
14,FLR Accommodation,84733.19929
14,FLR Government Support,123.7620691
14,FLR K12,101.421372
14,FLR Heavy Industry,107.0755672
14,FLR Hospital,111.24132
14,FLR Institutional,99.10604253
14,FLR Light Industry,84.94566475
14,FLR Office,151642.1461
14,FLR Retail,4605.342255
14,FLR Warehouse,133.8375687
14,FLR Agriculture,100.0
14,FLR Logging,100.0
15,FLR MH,11.69574642
15,FLR MF,818238.0905
15,FLR AT,122596.8837
15,FLR SFD,461.9813387
15,FLR RRMH,88.28292654
15,FLR RRSFD,40.21668485
15,FLR Accommodation,33038.02635
15,FLR Government Support,123.7620691
15,FLR K12,21156.22435
15,FLR Heavy Industry,107.0755672
15,FLR Hospital,505302.0161
15,FLR Institutional,82054.18058
15,FLR Light Industry,84.94566475
15,FLR Office,2408318.429
15,FLR Retail,131932.4292
15,FLR Warehouse,133.8375687
15,FLR Agriculture,100.0
15,FLR Logging,100.0
16,FLR MH,11.69574642
16,FLR MF,629271.0001
16,FLR AT,145.9370661
16,FLR SFD,461.9813387
16,FLR RRMH,88.28292654
16,FLR RRSFD,40.21668485
16,FLR Accommodation,34163.85808
16,FLR Government Support,15692.28778
16,FLR K12,101.421372
16,FLR Heavy Industry,107.0755672
16,FLR Hospital,111.24132
16,FLR Institutional,245773.1015
16,FLR Light Industry,84.94566475
16,FLR Office,222020.2218
16,FLR Retail,65838.63456
16,FLR Warehouse,133.8375687
16,FLR Agriculture,100.0
16,FLR Logging,100.0
17,FLR MH,4409.014352
17,FLR MF,1177908.861
17,FLR AT,764279.3772
17,FLR SFD,825763.2394
17,FLR RRMH,242.7487182
17,FLR RRSFD,209.0262592
17,FLR Accommodation,106488.7104
17,FLR Government Support,30.62576553
17,FLR K12,253233.3396
17,FLR Heavy Industry,237959.4464
17,FLR Hospital,101.5677362
17,FLR Institutional,48084.67534
17,FLR Light Industry,155205.7723
17,FLR Office,1656766.205
17,FLR Retail,500998.0984
17,FLR Warehouse,4931248.411
17,FLR Agriculture,100.0
17,FLR Logging,100.0
18,FLR MH,444.8662809
18,FLR MF,764948.6101
18,FLR AT,834691.8578
18,FLR SFD,1636735.269
18,FLR RRMH,242.7487182
18,FLR RRSFD,209.0262592
18,FLR Accommodation,49308.59585
18,FLR Government Support,30.62576553
18,FLR K12,7673.741159
18,FLR Heavy Industry,374554.5308
18,FLR Hospital,101.5677362
18,FLR Institutional,5442.763093
18,FLR Light Industry,75067.63515
18,FLR Office,813726.2168
18,FLR Retail,149193.0729
18,FLR Warehouse,17536.1989
18,FLR Agriculture,100.0
18,FLR Logging,100.0
19,FLR MH,1312.288149
19,FLR MF,287.5682719
19,FLR AT,239.0810167
19,FLR SFD,158719.006
19,FLR RRMH,232.8057207
19,FLR RRSFD,186.6748821
19,FLR Accommodation,100.0715136
19,FLR Government Support,98.96419691
19,FLR K12,1529.289896
19,FLR Heavy Industry,656420.7324
19,FLR Hospital,6.25
19,FLR Institutional,12005.42967
19,FLR Light Industry,579193.0362
19,FLR Office,1285801.547
19,FLR Retail,153280.9093
19,FLR Warehouse,11400701.86
