ZoneNumber,Commodity,TargetFloorspace,Tolerance,region,type,confidence
1,FLR Hospital,647629.5869,323814.7935,Metro,Office,50%
17,FLR Hospital,347014.1,173507.05,Metro,Office,50%
19,FLR Hospital,0,1000,Metro,Office,50%
31,FLR Hospital,647405.33,323702.665,Metro,Office,50%
37,FLR Hospital,0,1000,Metro,Office,50%
79,FLR Hospital,1016364.69,508182.345,Metro,Office,50%
81,FLR Hospital,0,1000,Metro,Office,50%
89,FLR Hospital,0,1000,Metro,Office,50%
104,FLR Hospital,0,1000,Metro,Office,50%
114,FLR Hospital,0,1000,Metro,Office,50%
117,FLR Hospital,0,1000,Metro,Office,50%
150,FLR Hospital,0,1000,Metro,Office,50%
154,FLR Hospital,0,1000,Metro,Office,50%
161,FLR Hospital,112791.59,56395.795,Metro,Office,50%
223,FLR Hospital,0,1000,Metro,Office,50%
229,FLR Hospital,293585.14,146792.57,Metro,Office,50%
244,FLR Hospital,0,1000,Metro,Office,50%
267,FLR Hospital,0,1000,Metro,Office,50%
271,FLR Hospital,0,1000,Metro,Office,50%
273,FLR Hospital,0,1000,Metro,Office,50%
290,FLR Hospital,0,1000,Metro,Office,50%
294,FLR Hospital,0,1000,Metro,Office,50%
323,FLR Hospital,0,1000,Metro,Office,50%
355,FLR Hospital,0,1000,Metro,Office,50%
361,FLR Hospital,229096.66,114548.33,Metro,Office,50%
385,FLR Hospital,0,1000,Metro,Office,50%
404,FLR Hospital,0,1000,Metro,Office,50%
405,FLR Hospital,149252.37,74626.185,Metro,Office,50%
411,FLR Hospital,0,1000,Metro,Office,50%
418,FLR Hospital,0,1000,Metro,Office,50%
441,FLR Hospital,0,1000,Metro,Office,50%
444,FLR Hospital,317585.2154,158792.6077,Metro,Office,50%
468,FLR Hospital,0,1000,Metro,Office,50%
481,FLR Hospital,0,1000,Metro,Office,50%
499,FLR Hospital,196116.43,98058.215,Metro,Office,50%
504,FLR Hospital,142.4387938,1000,Metro,Office,50%
536,FLR Hospital,0,1000,Metro,Office,50%
542,FLR Hospital,117625.85,58812.925,Metro,Office,50%
570,FLR Hospital,28709.4,14354.7,Metro,Office,50%
575,FLR Hospital,0,1000,Metro,Office,50%
618,FLR Hospital,142.4787887,1000,Metro,Office,50%
623,FLR Hospital,0,1000,Metro,Office,50%
636,FLR Hospital,0,1000,Metro,Office,50%
714,FLR Hospital,689654.04,344827.02,Metro,Office,50%
715,FLR Hospital,1335357.634,667678.8169,Metro,Office,50%
721,FLR Hospital,0,1000,Metro,Office,50%
727,FLR Hospital,359365.26,179682.63,Metro,Office,50%
733,FLR Hospital,0,1000,Metro,Office,50%
763,FLR Hospital,0,1000,Metro,Office,50%
776,FLR Hospital,0,1000,Metro,Office,50%
851,FLR Hospital,0,1000,Metro,Office,50%
852,FLR Hospital,0,1000,Metro,Office,50%
866,FLR Hospital,0,1000,Metro,Office,50%
869,FLR Hospital,0,1000,Metro,Office,50%
905,FLR Hospital,0,1000,Metro,Office,50%
970,FLR Hospital,127166.8941,63583.44706,Metro,Office,50%
991,FLR Hospital,84202.56054,42101.28027,Metro,Office,50%
1000,FLR Hospital,60065.68741,30032.8437,Metro,Office,50%
1002,FLR Hospital,157675.9843,78837.99217,Metro,Office,50%
1025,FLR Hospital,194585.9258,97292.96291,Metro,Office,50%
1044,FLR Hospital,79652.38064,39826.19032,Metro,Office,50%
1114,FLR Hospital,12652.13,6326.065,Metro,Office,50%
1131,FLR Hospital,32661.21236,16330.60618,Metro,Office,50%
1153,FLR Hospital,87763.86803,43881.93401,Metro,Office,50%
1175,FLR Hospital,36248.97,18124.485,Metro,Office,50%
1177,FLR Hospital,134159.785,67079.89251,Metro,Office,50%
1292,FLR Hospital,0,1000,Metro,Office,50%
1301,FLR Hospital,714217.26,357108.63,SalemKeizer,Office,50%
1303,FLR Hospital,0,1000,SalemKeizer,Office,50%
1313,FLR Hospital,0,1000,SalemKeizer,Office,50%
1314,FLR Hospital,0,1000,SalemKeizer,Office,50%
1316,FLR Hospital,327.76,1000,SalemKeizer,Office,50%
1318,FLR Hospital,0,1000,SalemKeizer,Office,50%
1324,FLR Hospital,0,1000,SalemKeizer,Office,50%
1328,FLR Hospital,0,1000,SalemKeizer,Office,50%
1337,FLR Hospital,0,1000,SalemKeizer,Office,50%
1364,FLR Hospital,0,1000,SalemKeizer,Office,50%
1369,FLR Hospital,0,1000,SalemKeizer,Office,50%
1374,FLR Hospital,0,1000,SalemKeizer,Office,50%
1394,FLR Hospital,140.3572742,1000,SalemKeizer,Office,50%
1401,FLR Hospital,0,1000,SalemKeizer,Office,50%
1408,FLR Hospital,293432.43,146716.215,SalemKeizer,Office,50%
1415,FLR Hospital,0,1000,SalemKeizer,Office,50%
1437,FLR Hospital,0,1000,SalemKeizer,Office,50%
1453,FLR Hospital,0,1000,SalemKeizer,Office,50%
1466,FLR Hospital,0,1000,SalemKeizer,Office,50%
1468,FLR Hospital,0,1000,SalemKeizer,Office,50%
1470,FLR Hospital,0,1000,NonMPO,Office,100%
1501,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1502,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1503,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1505,FLR Hospital,1483409.19,741704.595,EugeneSpringfield,Office,50%
1525,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1553,FLR Hospital,195.51,1000,EugeneSpringfield,Office,50%
1562,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1588,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1598,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1617,FLR Hospital,217919.09,108959.545,EugeneSpringfield,Office,50%
1630,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1639,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1650,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1658,FLR Hospital,0,1000,NonMPO,Office,100%
1701,FLR Hospital,0,1000,RogueValley,Office,50%
1702,FLR Hospital,0,1000,RogueValley,Office,50%
1706,FLR Hospital,0,1000,RogueValley,Office,50%
1710,FLR Hospital,0,1000,RogueValley,Office,50%
1715,FLR Hospital,0,1000,RogueValley,Office,50%
1717,FLR Hospital,0,1000,RogueValley,Office,50%
1719,FLR Hospital,0,1000,RogueValley,Office,50%
1720,FLR Hospital,631990.88,315995.44,RogueValley,Office,50%
1723,FLR Hospital,141.0866812,1000,RogueValley,Office,50%
1724,FLR Hospital,0,1000,RogueValley,Office,50%
1726,FLR Hospital,0,1000,RogueValley,Office,50%
1728,FLR Hospital,0,1000,RogueValley,Office,50%
1732,FLR Hospital,0,1000,RogueValley,Office,50%
1736,FLR Hospital,0,1000,OR-Small Cities,Office,100%
1752,FLR Hospital,305251.6,152625.8,RogueValley,Office,50%
1774,FLR Hospital,0,1000,OR-Small Cities,Office,100%
1775,FLR Hospital,0,1000,NonMPO,Office,100%
2009,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2011,FLR Hospital,123905.35,123905.35,OR-Small Cities,Office,100%
2018,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2023,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2025,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2028,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2031,FLR Hospital,98577.69,98577.69,OR-Small Cities,Office,100%
2035,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2042,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2045,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2046,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2051,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2056,FLR Hospital,95987.95,95987.95,OR-Small Cities,Office,100%
2059,FLR Hospital,0,1000,NonMPO,Office,100%
