Azone,Bzone,PECASName,ALDRegion,STATEFIPS,COUNTYFIPS,PUMA2000,PUMA1990,HourPark,DayPark,LUIntensityCode,MPOmodeledzones,ACT,Fare,State,COUNTY,GridAcres,MPOcalibrationzones,HPMS,AreaType,NorthColumbia
1,1,Portland,Portland_Vancouver,41,51,1304,1300,0.91,7.53,High,Metro,2,TriMetFareless,OR,Multnomah,80.71,Metro,PORTLAND,4,0
2,1,Portland,Portland_Vancouver,41,51,1304,1300,0.91,7.53,High,Metro,2,TriMetFareless,OR,Multnomah,78.48,Metro,PORTLAND,4,0
3,1,Portland,Portland_Vancouver,41,51,1304,1300,0.73,6.31,High,Metro,2,TriMetFareless,OR,Multnomah,41.47,Metro,PORTLAND,4,0
4,1,Portland,Portland_Vancouver,41,51,1304,1300,0.73,6.31,High,Metro,2,TriMetFareless,OR,Multnomah,37.68,Metro,PORTLAND,4,0
5,1,Portland,Portland_Vancouver,41,51,1304,1300,0.73,6.31,Medium,Metro,2,TriMet1,OR,Multnomah,32.11,Metro,PORTLAND,3,0
6,1,Portland,Portland_Vancouver,41,51,1304,1300,0.73,6.31,Medium,Metro,2,TriMet1,OR,Multnomah,26.53,Metro,PORTLAND,3,0
7,1,Portland,Portland_Vancouver,41,51,1304,1300,0,0,High,Metro,2,TriMet1,OR,Multnomah,80.05,Metro,PORTLAND,3,0
8,1,Portland,Portland_Vancouver,41,51,1304,1300,0,0,High,Metro,2,TriMet1,OR,Multnomah,123.75,Metro,PORTLAND,4,0
9,1,Portland,Portland_Vancouver,41,51,1304,1300,0,0,High,Metro,2,TriMetFareless,OR,Multnomah,67.78,Metro,PORTLAND,3,0
10,1,Portland,Portland_Vancouver,41,51,1304,1300,0.91,7.53,High,Metro,2,TriMetFareless,OR,Multnomah,74.47,Metro,PORTLAND,4,0
11,1,Portland,Portland_Vancouver,41,51,1304,1300,0.91,7.53,High,Metro,2,TriMetFareless,OR,Multnomah,59.98,Metro,PORTLAND,3,0
12,1,Portland,Portland_Vancouver,41,51,1304,1300,0.91,7.53,High,Metro,2,TriMetFareless,OR,Multnomah,50.39,Metro,PORTLAND,4,0
13,1,Portland,Portland_Vancouver,41,51,1304,1300,0.91,7.53,High,Metro,2,TriMetFareless,OR,Multnomah,63.55,Metro,PORTLAND,4,0
14,1,Portland,Portland_Vancouver,41,51,1304,1300,0.91,7.53,Medium,Metro,2,TriMetFareless,OR,Multnomah,42.59,Metro,PORTLAND,3,0
15,1,Portland,Portland_Vancouver,41,51,1304,1300,0.91,7.53,High,Metro,2,TriMetFareless,OR,Multnomah,108.14,Metro,PORTLAND,4,0
16,1,Portland,Portland_Vancouver,41,51,1304,1300,0.91,7.53,High,Metro,2,TriMetFareless,OR,Multnomah,63.55,Metro,PORTLAND,3,0
17,17,Portland,Portland_Vancouver,41,51,1304,1300,0,0,High,Metro,2,TriMet1,OR,Multnomah,378.15,Metro,PORTLAND,3,0
18,17,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Medium,Metro,2,TriMet1,OR,Multnomah,301.68,Metro,PORTLAND,3,0
19,19,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Medium,Metro,2,TriMet2,OR,Multnomah,1629.23,Metro,PORTLAND,3,0
20,19,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet2,OR,Multnomah,684.29,Metro,PORTLAND,3,0
21,19,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet3,OR,Multnomah,770.13,Metro,PORTLAND,2,0
22,19,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet3,OR,Multnomah,547.83,Metro,PORTLAND,2,0
23,19,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet3,OR,Multnomah,912.39,Metro,PORTLAND,1,0
24,19,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet3,OR,Multnomah,3016.32,Metro,PORTLAND,1,0
25,19,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Low,Metro,2,TriMet2,OR,Multnomah,2203.37,Metro,PORTLAND,2,0
26,19,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet3,OR,Multnomah,2240.61,Metro,PORTLAND,2,0
27,19,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet3,OR,Multnomah,3661.81,Metro,RURAL<5K,1,0
28,17,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Low,Metro,2,TriMet1,OR,Multnomah,133.11,Metro,PORTLAND,3,0
29,17,Portland,Portland_Vancouver,41,51,1304,1300,0,0,High,Metro,2,TriMet1,OR,Multnomah,238.35,Metro,PORTLAND,3,0
30,17,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet1,OR,Multnomah,696.55,Metro,PORTLAND,2,0
31,31,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Low,Metro,2,TriMet2,OR,Multnomah,434.12,Metro,PORTLAND,2,0
32,31,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Medium,Metro,2,TriMet2,OR,Multnomah,191.53,Metro,PORTLAND,3,0
33,17,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet1,OR,Multnomah,239.25,Metro,PORTLAND,2,0
34,31,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Low,Metro,2,TriMet1,OR,Multnomah,655.3,Metro,PORTLAND,3,0
35,31,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet1,OR,Multnomah,235.9,Metro,PORTLAND,2,0
36,31,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet2,OR,Multnomah,124.86,Metro,PORTLAND,2,0
37,37,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Low,Metro,2,TriMet1,OR,Multnomah,225.2,Metro,PORTLAND,2,0
38,31,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet2,OR,Multnomah,348.5,Metro,PORTLAND,2,0
39,31,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Low,Metro,2,TriMet2,OR,Multnomah,270.24,Metro,PORTLAND,2,0
40,37,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Medium,Metro,2,TriMet2,OR,Multnomah,461.77,Metro,PORTLAND,3,0
41,37,Portland,Portland_Vancouver,41,51,1304,1300,0,0,Low,Metro,2,TriMet1,OR,Multnomah,197.33,Metro,PORTLAND,3,0
42,31,Portland,Portland_Vancouver,41,51,1304,1300,0,0,VeryLow,Metro,2,TriMet1,OR,Multnomah,628.1,Metro,PORTLAND,2,0
