Activity,option,Target
HH0to8k1to2,cluster1,5731.902571
HH0to8k1to2,cluster2,662.3531858
HH0to8k1to2,cluster3,229.2761028
HH0to8k1to2,cluster4,5145.974751
HH0to8k1to2,cluster5,636.8780634
HH0to8k1to2,cluster6,2292.761028
HH0to8k1to2,cluster7,433.0770831
HH0to8k1to2,cluster8,356.6517154
HH0to8k1to2,cluster9,127.3756127
HH0to8k1to2,cluster10,203.8009803
HH0to8k1to2,cluster11,2165.385415
HH0to8k1to2,cluster12,1630.407841
HH0to8k1to2,cluster13,152.8507352
HH0to8k1to2,cluster14,76.42536761
HH0to8k1to2,cluster15,305.7014704
HH0to8k1to2,cluster16,1019.004901
HH0to8k1to2,cluster17,560.4526958
HH0to8k1to2,cluster18,50.95024507
HH0to8k1to2,cluster19,2496.562009
HH0to8k1to2,cluster20,152.8507352
HH0to8k1to2,cluster21,280.226348
HH0to8k1to2,cluster22,2216.335661
HH0to8k1to2,cluster23,382.1268381
HH0to8k1to2,cluster24,356.6517154
HH0to8k1to2,cluster25,178.3258578
HH0to8k1to2,cluster26,76.42536761
HH0to8k1to2,cluster27,76.42536761
HH0to8k1to2,cluster28,1146.380515
HH0to8k1to2,cluster29,2572.987377
HH0to8k1to2,cluster30,2241.810783
HH0to8k1to2,cluster31,229.2761028
HH0to8k1to2,cluster32,127.3756127
HH0to8k1to2,cluster33,254.7512254
HH0to8k1to2,cluster34,101.9004901
HH0to8k1to2,cluster35,101.9004901
HH0to8k1to2,cluster36,178.3258578
HH0to8k1to2,cluster37,76.42536761
HH0to8k1to2,cluster38,382.1268381
HH0to8k1to2,cluster39,229.2761028
HH0to8k1to2,cluster40,101.9004901
HH0to8k1to2,cluster42,101.9004901
HH0to8k1to2,cluster43,50.95024507
HH0to8k1to2,cluster44,76.42536761
HH0to8k1to2,cluster45,178.3258578
HH0to8k1to2,cluster46,50.95024507
HH0to8k1to2,cluster47,76.42536761
HH0to8k1to2,cluster48,840.6790439
HH0to8k1to2,cluster49,76.42536761
HH0to8k1to2,cluster50,356.6517154
HH0to8k1to2,cluster51,203.8009803
HH0to8k1to2,cluster52,254.7512254
HH0to8k1to2,cluster53,76.42536761
HH0to8k1to2,cluster54,178.3258578
HH0to8k1to2,cluster55,76.42536761
HH0to8k1to2,cluster56,127.3756127
HH0to8k1to2,cluster57,50.95024507
HH0to8k1to2,cluster58,152.8507352
HH0to8k1to2,cluster59,50.95024507
HH0to8k1to2,cluster60,76.42536761
