Name,Type,Coeff
Lq1,,0.577946008
Lq2,,0.309236255
Bq1,FLR Accommodation,-0.448739765
Bq1,FLR Government Support,-0.717076038
Bq1,FLR K12,-1.08103072
Bq1,FLR Heavy Industry,-2.992416835
Bq1,FLR Hospital,-0.463260993
Bq1,FLR Institutional,-0.387125415
Bq1,FLR Light Industry,-2.197701173
Bq1,FLR Office,-2.128986782
Bq1,FLR Retail,-0.509894872
Bq1,FLR Warehouse,-1.922216267
Bq2,,0.874474814
Bq3,FLR Accommodation,0
Bq3,FLR Government Support,0
Bq3,FLR K12,0
Bq3,FLR Heavy Industry,0
Bq3,FLR Hospital,0
Bq3,FLR Institutional,0
Bq3,FLR Light Industry,0
Bq3,FLR Office,0
Bq3,FLR Retail,0
Bq3,FLR Warehouse,0
Bq4,,0.932353006
Lp,,0.075
Stc,,1
B3f,,1.963553967
B4f,,-0.269004119
B5f,,1.729279161
B6f,,0.347738206
B7f,,0.248169894
B8f,,5.817253156
B9f,,0.002110781
Df,,0.0001
B1v,,0.278924056
B2v,,1.968481828
B3v,,0.399308996
B4v,,0.2
B5v,,0.278924056
B6v,,1.968481828
B7v,,0.399308996
B8v,,0.2
