Name,Type,Coeff
Lq1,,1.016924226
Lq2,,1.480710406
Bq1,FLR MH,-2.681994133
Bq1,FLR MF,-3.845174498
Bq1,FLR AT,-3.607893401
Bq1,FLR SFD,-2.245563997
Bq1,FLR RRMH,-1.497808695
Bq1,FLR RRSFD,-1.976203785
Bq2,,0.993564335
Bq3,FLR MH,0
Bq3,FLR MF,0
Bq3,FLR AT,0
Bq3,FLR SFD,0
Bq3,FLR RRMH,0
Bq3,FLR RRSFD,0
Bq4,,0.881171582
Lp,,0.075
Stc,,1
B3f,,1.248889104
B4f,,-0.27131634
B5f,,1.160029048
B6f,,0.284711827
B7f,,0.052244412
B8f,,6.64284732
B9f,,0.000673479
Df,,0.11659328
B1v,,0.707673593
B2v,,1.608065519
B3v,,0.167151615
B4v,,0.2
B5v,,0.707673593
B6v,,1.608065519
B7v,,0.167151615
B8v,,0.2
