Activity,TotalAmount
sctg01_fkp_lvsk_expt,1203512.9601
sctg01_fkp_lvsk_impt,1061593.3535000002
sctg02_fkp_agri_cereal_expt,893932.5582
sctg02_fkp_agri_cereal_impt,999880.908
sctg03_fkp_agri_other_expt,8313501.9317
sctg03_fkp_agri_other_impt,2760061.4480000003
sctg04_fkp_feed_expt,694882.2387
sctg04_fkp_feed_impt,1301099.7699999998
sctg05_fkp_food_meat_expt,3346381.1998000005
sctg05_fkp_food_meat_impt,4223945.0324
sctg06_fkp_agri_grain_expt,1652958.8954
sctg06_fkp_agri_grain_impt,1746200.7415
sctg07_fkp_food_prep_expt,15630709.6964
sctg07_fkp_food_prep_impt,11559174.1489
sctg08_fkp_food_alc_expt,2026017.5217000002
sctg08_fkp_food_alc_impt,2300836.2246000003
sctg10_cms_clay_expt,271536.72270000004
sctg10_cms_clay_impt,249320.3358
sctg11_cms_sand_expt,299397.9832
sctg11_cms_sand_impt,153419.8971
sctg13_cms_mine_nonmet_expt,44226.4529
sctg13_cms_mine_nonmet_impt,155094.8853
sctg14_cms_mine_met_expt,1533490.4825
sctg14_cms_mine_met_impt,725068.0719
sctg15_pcc_coal_expt,77540.9541
sctg15_pcc_coal_impt,761404.0968999999
sctg16_pcc_petr_crude_expt,703292.3056
sctg16_pcc_petr_crude_impt,2051368.8827
sctg17_pcc_fuel_expt,199578.09920000003
sctg17_pcc_fuel_impt,5820532.1599
sctg18_pcc_petr_oil_expt,99789.0495
sctg18_pcc_petr_oil_impt,2910266.0757999998
sctg19_pcc_coal_prod_expt,921302.3198
sctg19_pcc_coal_prod_impt,4790033.6798
sctg20_pcc_chem_basic_expt,1754684.9769
sctg20_pcc_chem_basic_impt,2519659.6152
sctg21_pcc_chem_pharma_expt,1101464.642
sctg21_pcc_chem_pharma_impt,6571703.420100001
sctg22_pcc_chem_fert_expt,699492.4550999999
sctg22_pcc_chem_fert_impt,925356.2317
sctg23_pcc_chem_prod_expt,1649599.4137
sctg23_pcc_chem_prod_impt,3954914.7027000003
sctg24_pcc_petr_plast_expt,3249228.6834000004
sctg24_pcc_petr_plast_impt,5596685.487799999
sctg25_fwp_logs_expt,3234936.1988
sctg25_fwp_logs_impt,2474730.6261
sctg26_fwp_wood_expt,6456998.7867
sctg26_fwp_wood_impt,2392018.2857000004
sctg27_ppp_papr_puplp_expt,5580698.646299999
sctg27_ppp_papr_puplp_impt,1913050.0094
sctg28_ppp_papr_paper_expt,1831491.2155000002
sctg28_ppp_papr_paper_impt,2313922.1552000004
sctg29_ppp_papr_print_expt,1705409.7792000002
sctg29_ppp_papr_print_impt,2495898.1003
sctg30_oth_clth_expt,822096.4211000002
sctg30_oth_clth_impt,3805503.8542
sctg31_cms_min_expt,2273122.3308
sctg31_cms_min_impt,2752245.8601
sctg32_mit_metl_base_expt,4970671.953600001
sctg32_mit_metl_base_impt,5472793.3963
sctg33_mit_metl_prod_expt,4028276.1074
sctg33_mit_metl_prod_impt,4199515.2497
sctg34_mit_mach_expt,5745210.491599999
sctg34_mit_mach_impt,8683817.9526
sctg35_mit_elct_expt,25089950.7544
