Azone,FLRType,FLRName,BldgMSQFT
1.0,AgForest,FLR Logging,111694000.0
1.0,AgForest,FLR Agriculture,95801978.68
2.0,AgForest,FLR Logging,111694000.0
2.0,AgForest,FLR Agriculture,95801978.68
3.0,AgForest,FLR Logging,111694000.0
3.0,AgForest,FLR Agriculture,95801978.68
4.0,AgForest,FLR Logging,111694000.0
4.0,AgForest,FLR Agriculture,95801978.68
5.0,AgForest,FLR Logging,111694000.0
5.0,AgForest,FLR Agriculture,95801978.68
6.0,AgForest,FLR Logging,111694000.0
6.0,AgForest,FLR Agriculture,95801978.68
7.0,AgForest,FLR Logging,111694000.0
7.0,AgForest,FLR Agriculture,95801978.68
8.0,AgForest,FLR Logging,111694000.0
8.0,AgForest,FLR Agriculture,95801978.68
9.0,AgForest,FLR Logging,111694000.0
9.0,AgForest,FLR Agriculture,95801978.68
10.0,AgForest,FLR Logging,111694000.0
10.0,AgForest,FLR Agriculture,95801978.68
11.0,AgForest,FLR Logging,111694000.0
11.0,AgForest,FLR Agriculture,95801978.68
12.0,AgForest,FLR Logging,111694000.0
12.0,AgForest,FLR Agriculture,95801978.68
13.0,AgForest,FLR Logging,111694000.0
13.0,AgForest,FLR Agriculture,95801978.68
14.0,AgForest,FLR Logging,111694000.0
14.0,AgForest,FLR Agriculture,95801978.68
15.0,AgForest,FLR Logging,111694000.0
15.0,AgForest,FLR Agriculture,95801978.68
16.0,AgForest,FLR Logging,111694000.0
16.0,AgForest,FLR Agriculture,95801978.68
17.0,AgForest,FLR Logging,111694000.0
17.0,AgForest,FLR Agriculture,95801978.68
18.0,AgForest,FLR Logging,111694000.0
18.0,AgForest,FLR Agriculture,95801978.68
