Commodity,Floorspace
SCTG04_FKP_FEED,FLR Retail
SCTG04_FKP_FEED,FLR Warehouse
SCTG05_FKP_FOOD_meat,FLR Retail
SCTG05_FKP_FOOD_meat,FLR Warehouse
SCTG06_FKP_AGRI_grain,FLR Retail
SCTG06_FKP_AGRI_grain,FLR Warehouse
SCTG07_FKP_FOOD_prep,FLR Retail
SCTG07_FKP_FOOD_prep,FLR Warehouse
SCTG08_FKP_FOOD_alc,FLR Retail
SCTG08_FKP_FOOD_alc,FLR Warehouse
SCTG17_PCC_FUEL,FLR Retail
SCTG17_PCC_FUEL,FLR Warehouse
SCTG18_PCC_PETR_oil,FLR Retail
SCTG18_PCC_PETR_oil,FLR Warehouse
SCTG21_PCC_CHEM_pharma,FLR Retail
SCTG21_PCC_CHEM_pharma,FLR Warehouse
SCTG23_PCC_CHEM_prod,FLR Retail
SCTG23_PCC_CHEM_prod,FLR Warehouse
SCTG29_PPP_PAPR_print,FLR Retail
SCTG29_PPP_PAPR_print,FLR Warehouse
SCTG30_OTH_CLTH,FLR Retail
SCTG30_OTH_CLTH,FLR Warehouse
SCTG36_MIT_TRAN,FLR Retail
SCTG36_MIT_TRAN,FLR Warehouse
SCTG39_OTH_FURN,FLR Retail
SCTG39_OTH_FURN,FLR Warehouse
SCTG40_OTH_MISC,FLR Retail
SCTG40_OTH_MISC,FLR Warehouse
