Commodity,Skim,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
A1-Mgmt Bus,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Accommodations,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
B1-Prof Specialty,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
B2-Education,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
B3-Health,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
B4-Technical Unskilled,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
C1-Sales Clerical Professionals,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
C2-Sales Service,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
C3-Clerical,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
C4-Sales Clerical Unskilled,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Communications and Utilities,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Construction,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
D1-Production Specialists,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
D2-MaintConstRepair Specialists,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
D3-ProtectTrans Specialists,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
D4-Blue Collar Unskilled,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Entertainment Services,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Fire Business and Professional Services,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Food Services,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Government Administration,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Health Services,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Higher Education,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Internal Services Construction,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Internal Services Education k12,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Internal Services Energy,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Internal Services Government Administration,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
Internal Services Information,betapkautodist,2.5,5,10,15,30,100,250,500,1000,2000,4000,10000,20000
