#comm mode  mean  alpha beta  modeShare
SCTG01  SAA 6003  1474  7000  0.0039
SCTG01  STK 96  0 1284  99.9961
SCTG02  SRR 761 168 1584  31.2497
SCTG02  STK 209 0 1126  64.0996
SCTG02  SWA 4610  135 14000 4.6507
SCTG03  SAA 6445  1474  7000  0.0236
SCTG03  SRR 1213  138 2212  8.0063
SCTG03  STK 260 0 2529  91.8535
SCTG03  SWA 168 168 168 0.1166
SCTG04  SAA 6009  1474  7000  0.0023
SCTG04  SPA 0 0 0 0.0000
SCTG04  SRR 889 138 1036  7.7851
SCTG04  STK 227 0 2296  92.2126
SCTG04  SWA 0 0 0 0.0000
SCTG05  SAA 5919  1474  7000  0.0003
SCTG05  SRR 0 0 0 0.0000
SCTG05  STK 658 0 2411  99.9997
SCTG05  SWA 0 0 0 0.0000
SCTG06  SAA 6298  1474  7000  0.0006
SCTG06  SRR 1133  933 1845  2.2451
SCTG06  STK 255 0 2403  97.7542
SCTG06  SWA 0 0 0 0.0000
SCTG07  SAA 6254  1474  7000  0.0017
SCTG07  SPA 0 0 0 0.0000
SCTG07  SRR 853 136 2262  5.5091
SCTG07  STK 458 0 2529  94.0396
SCTG07  SWA 499 499 499 0.4496
SCTG08  SAA 6354  1474  7000  0.0027
SCTG08  SRR 799 491 1848  12.6481
SCTG08  STK 277 0 2411  87.3492
SCTG08  SWA 0 0 0 0.0000
SCTG09  SAA 4967  1474  5405  0.0139
SCTG09  STK 167 0 2296  99.9861
SCTG09  SWA 0 0 0 0.0000
SCTG10  SAA 0 0 0 0.0000
SCTG10  SRR 0 0 0 0.0000
SCTG10  STK 127 0 395 100.0000
SCTG11  SAA 0 0 0 0.0000
SCTG11  SRR 630 275 2182  4.2768
SCTG11  STK 275 0 1668  95.7232
SCTG11  SWA 0 0 0 0.0000
SCTG12  SAA 0 0 0 0.0000
SCTG12  SRR 681 9 1496  3.1176
SCTG12  STK 98  0 2200  79.9364
SCTG12  SWA 171 9 224 16.9460
SCTG13  SAA 6423  1474  7000  0.0008
SCTG13  SPA 0 0 0 0.0000
SCTG13  SRR 637 554 2146  59.1890
SCTG13  STK 324 0 2146  40.8101
SCTG13  SWA 0 0 0 0.0000
SCTG14  SAA 4968  1474  5405  0.0003
SCTG14  SPA 0 0 0 0.0000
SCTG14  SRR 0 0 0 0.0000
SCTG14  STK 775 0 1746  99.9997
SCTG14  SWA 0 0 0 0.0000
SCTG15  SPA 0 0 0 0.0000
SCTG15  SRR 637 168 1794  81.6542
SCTG15  STK 379 0 2296  18.3458
SCTG15  SWA 0 0 0 0.0000
SCTG16  SAA 0 0 0 0.0000
SCTG16  SRR 0 0 0 0.0000
SCTG16  STK 92  0 395 100.0000
SCTG16  SWA 0 0 0 0.0000
SCTG17  SAA 0 0 0 0.0000
SCTG17  SRR 37  32  42  0.0416
SCTG17  STK 155 0 770 69.8004
SCTG17  SWA 220 168 1700  1.0710
SCTG17  SPA 168 168 168 29.0870
SCTG18  SAA 0 0 0 0.0000
SCTG18  SPA 148 9 224 55.2293
SCTG18  SRR 1432  224 1608  1.3882
SCTG18  STK 117 0 1845  43.3825
SCTG18  SWA 0 0 0 0.0000
SCTG19  SAA 4967  1474  5405  0.0000
SCTG19  SRR 0 0 0 0.0000
SCTG19  STK 100 0 395 93.4498
SCTG19  SWA 9 9 9 6.5502
SCTG20  SAA 6280  1474  7000  0.0103
SCTG20  SRR 777 23  1974  24.0160
