"dpnum","daypattern","ntours","stops","ptype1","ptype2","ptype3","ptype4","ptype5","presenceWorkActivities","presenceSchoolTours","stayAtHome","oneTourPattern","twoToursPattern","threeToursPattern","fourToursPattern","fivePlusToursPattern","workOnlyNoStops","workOnlyInStops","workOnlyOutStops","workNoStops","workInStops","workOutStops","schoolOnly","workOnly","schoolBeforeWork","workBeforeSchool","work2pNoStops","work2pWithStops","school2p","numWBasedTours","presenceWBasedTours","homeSchoolHomePattern","otherOnly","shopOnly2p","otherOnly2p","noPrimaryThreePlusTours","presenceShopTours","presenceRecTours","presenceOtherTours","shopBeforeWork","recBeforeWork","othBeforeWork","shopBeforeSchool","recBeforeSchool","othBeforeSchool","recBeforeShop","oneShopActivity","twoShopActivities","threeShopActivities","fourShopActivities","presenceShopActivities","oneRecActivity","twoRecActivities","threeRecActivities","fourRecActivities","presenceRecActivities","oneOtherActivity","twoOtherActivities","threeOtherActivities","fourOtherActivities","presenceOtherActivities","stopsWorkTimesNonWorkTours","stopsWorkTimesStopsNonWork","stopsTimesTours","schoolWithOutStops","schoolWithInStops","schoolWithBothStops","workWithOutStops","workWithInStops","workWithBothStops","schoolOrWorkOutStops","schoolOrWorkInStops","schoolOrWorkBothStops","schoolAndWorkOutStopsFirst","schoolAndWorkInStopsFirst","schoolAndWorkBothStopsFirst","schoolAndWorkOutStopsSec","schoolAndWorkInStopsSec","schoolAndWorkBothStopsSec","schoolWithWorkAndExtraStops","moreOutThanIn","moreInThanOut","equalOutAndIn","presenceStopsOnWork","presenceStopsOnWBased","presenceStopsOnShop","presenceStopsOnRec","oneStopOnOther","twoStopsOnOther","threePlusStopsOnOther","twoPlusTours","presenceStops","presenceStopsOnPrimary","presenceStopsOnShopRecOth","presenceShopRecOthTours","stopsForShopRecOth","presenceStopsForShopRecOth","presenceShopStopsOnWork","schoolWithWorkStops","numberOfStopsOnWork","presenceStopsOnWorkWBased","nWorkTours","nSchoolTours","nShopTours","nRecreationTours","nOtherTours","shopStopsPerTour","recStopsPerTour","otherStopsPerTour"
1,"H",0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"HBH",1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"HBOH",1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
4,"HBRH",1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
5,"HBSH",1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
6,"HCCH",1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
7,"HCCOH",1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1
8,"HCCRH",1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0
9,"HCCSH",1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0
10,"HCH",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
