RATIO,PRIM_ACCUM,FIRST_ACCUM
0,0,0
0.01,0.03943,0.00161
0.02,0.07576,0.00364
0.03,0.11249,0.00471
0.04,0.15342,0.00584
0.05,0.21276,0.00753
0.06,0.28017,0.00994
0.07,0.34443,0.01211
0.08,0.42452,0.01578
0.09,0.49674,0.01776
0.1,0.56381,0.0196
0.11,0.6208,0.02235
0.12,0.6758,0.02431
0.13,0.69976,0.02589
0.14,0.72284,0.02779
0.15,0.73976,0.02947
0.16,0.75168,0.03261
0.17,0.765,0.03567
0.18,0.77864,0.03707
0.19,0.79098,0.03973
0.2,0.79878,0.04393
0.21,0.8073,0.04891
0.22,0.81575,0.05267
0.23,0.82174,0.05714
0.24,0.82709,0.05993
0.25,0.83129,0.06239
0.26,0.83751,0.06944
0.27,0.84306,0.07449
0.28,0.84563,0.07878
0.29,0.8492,0.08458
0.3,0.85217,0.08886
0.31,0.85613,0.09528
0.32,0.85827,0.10056
0.33,0.86077,0.10477
0.34,0.86569,0.11304
0.35,0.86887,0.12036
0.36,0.87232,0.1286
0.37,0.87439,0.1378
0.38,0.87594,0.14969
0.39,0.87887,0.16156
0.4,0.88172,0.16972
0.41,0.88628,0.18348
0.42,0.88994,0.19774
0.43,0.899,0.22231
0.44,0.90096,0.24224
0.45,0.90601,0.26061
0.46,0.91367,0.28531
0.47,0.92039,0.31272
0.48,0.92473,0.34549
0.49,0.92899,0.38243
0.5,0.93083,0.40063
0.51,0.93484,0.49339
0.52,0.93692,0.52612
0.53,0.93913,0.55855
0.54,0.94065,0.58734
0.55,0.94357,0.60834
0.56,0.94616,0.63381
0.57,0.94683,0.66578
0.58,0.94871,0.68978
0.59,0.95031,0.71277
0.6,0.95379,0.72556
0.61,0.95734,0.74875
0.62,0.95968,0.76433
0.63,0.96447,0.78665
0.64,0.97,0.8013
0.65,0.97385,0.81395
0.66,0.97692,0.82347
0.67,0.98008,0.83561
0.68,0.9806,0.84622
0.69,0.98123,0.85498
0.7,0.98244,0.86142
0.71,0.98396,0.87162
0.72,0.98396,0.87699
0.73,0.9851,0.88578
0.74,0.9851,0.89275
0.75,0.9851,0.89893
0.76,0.98634,0.90989
0.77,0.98691,0.91814
0.78,0.98698,0.92246
0.79,0.98698,0.92653
0.8,0.9889,0.92923
0.81,0.98945,0.9369
0.82,0.99005,0.94227
0.83,0.99029,0.94697
0.84,0.99057,0.95132
0.85,0.99137,0.95531
0.86,0.99182,0.95923
0.87,0.99241,0.9636
0.88,0.99443,0.9671
0.89,0.99495,0.97075
0.9,0.99495,0.97286
0.91,0.99546,0.97686
0.92,0.99567,0.97925
0.93,0.99624,0.98232
0.94,0.99648,0.98318
0.95,0.99648,0.9855
0.96,0.99762,0.98829
0.97,0.99888,0.99171
0.98,0.99945,0.99365
0.99,0.99996,0.99766
1,1,1
