commodity,mode,vaf,ie_d2t,ei_d2t,ii_d2t,min_shipment_size
SCTG01,STK,2.64,1229.57,4282.23,1153.67,3.375
SCTG02,STK,1.02,153.32,85.01,4.55,3.375
SCTG03,STK,2.13,8528.02,1152.15,223.14,3.375
SCTG04,STK,1.64,2059.9,1926.32,10.63,3.375
SCTG05,STK,1.22,10886.96,2015.88,567.73,3.375
SCTG06,STK,2.1,1334.31,3266.7,347.62,3.375
SCTG07,STK,0.72,6477.23,927.49,130.55,3.375
SCTG08,STK,1.66,5851.82,3945.23,78.94,3.375
SCTG09,STK,1.51,336.99,244861.05,48.58,2.6665
SCTG10,STK,0.07,56.17,171.53,7.59,3.375
SCTG11,STK,1.05,100.19,4.55,1.52,3.375
SCTG12,STK,3.21,24.29,16.7,6.07,3.375
SCTG13,STK,2.87,385.57,113.85,3.04,6.75
SCTG14,STK,0.35,26091.07,130.55,170.01,7.59375
SCTG15,STK,0.002,7.59,21.25,6.07,7.59375
SCTG16,STK,0.25,0.38,0.41,22.77,7.59375
SCTG17,STK,6.15,9.11,3.04,683.09,7.59375
SCTG18,STK,5.2,7.59,3.04,1179.47,7.59375
SCTG19,STK,2.8,19.73,1411.72,40.99,7.59375
SCTG20,STK,1.08,570.76,2920.6,68.31,1.265625
SCTG21,STK,1.76,2882.65,91235.24,581.39,1.265625
SCTG22,STK,3.33,1546.82,796.94,63.76,1.265625
SCTG23,STK,15.33,35731.77,55719.03,434.14,1.265625
SCTG24,STK,1.02,30490.18,5390.35,68.31,1.265625
SCTG25,STK,0.43,141.17,103.22,30.36,1.6875
SCTG26,STK,3.61,5100.42,724.08,207.96,3.375
SCTG27,STK,7.3,12860.34,1258.41,81.97,15.1875
SCTG28,STK,1.1,40214.37,4696.63,98.67,1.6875
SCTG29,STK,0.95,29904.24,5270.43,291.45,3.375
SCTG30,STK,4.07,18074.61,43142.55,2978.28,5.0625
SCTG31,STK,1.35,265.65,1657.64,36.43,6.75
SCTG32,STK,4.7,47688.91,6483.3,51.61,3.375
SCTG33,STK,0.92,12550.67,4219.99,282.34,7.59375
SCTG34,STK,23.55,175285.88,56602.5,13886.5,1.6875
SCTG35,STK,0.44,252324.96,27346.44,3348.67,1.6875
SCTG36,STK,1.62,72629.34,15746.02,1203.76,11.8125
SCTG37,STK,1.45,19964.49,8898.41,63.76,3.375
SCTG38,STK,0.35,133181.63,15665.57,7855.55,6.75
SCTG39,STK,1.36,1624.24,6272.3,856.14,1.6875
SCTG40,STK,1.66,12350.3,9318.89,81.97,6.75
SCTG41,STK,0,0,0,0,0
SCTG43,STK,0,0,0,0,0
