occupation,occupationLabel
0,No_Occupation
10,A1-Mgmt Bus
20,A1-Mgmt Bus
40,A1-Mgmt Bus
50,A1-Mgmt Bus
60,A1-Mgmt Bus
100,A1-Mgmt Bus
110,A1-Mgmt Bus
120,A1-Mgmt Bus
130,A1-Mgmt Bus
140,A1-Mgmt Bus
150,A1-Mgmt Bus
160,A1-Mgmt Bus
200,A1-Mgmt Bus
210,A1-Mgmt Bus
220,A1-Mgmt Bus
230,A1-Mgmt Bus
300,A1-Mgmt Bus
310,A1-Mgmt Bus
320,A1-Mgmt Bus
330,A1-Mgmt Bus
340,A1-Mgmt Bus
350,A1-Mgmt Bus
360,A1-Mgmt Bus
410,A1-Mgmt Bus
420,A1-Mgmt Bus
430,A1-Mgmt Bus
500,A1-Mgmt Bus
510,A1-Mgmt Bus
520,A1-Mgmt Bus
530,A1-Mgmt Bus
540,A1-Mgmt Bus
560,A1-Mgmt Bus
600,A1-Mgmt Bus
620,A1-Mgmt Bus
700,A1-Mgmt Bus
710,A1-Mgmt Bus
720,A1-Mgmt Bus
730,A1-Mgmt Bus
800,A1-Mgmt Bus
810,A1-Mgmt Bus
820,A1-Mgmt Bus
830,A1-Mgmt Bus
840,A1-Mgmt Bus
850,A1-Mgmt Bus
860,A1-Mgmt Bus
900,A1-Mgmt Bus
910,A1-Mgmt Bus
930,A1-Mgmt Bus
940,A1-Mgmt Bus
950,A1-Mgmt Bus
1000,B1-Prof Specialty
1010,B1-Prof Specialty
1020,B1-Prof Specialty
1040,B4-Technical Unskilled
1060,B1-Prof Specialty
1100,B1-Prof Specialty
1110,B1-Prof Specialty
1200,B1-Prof Specialty
1220,B1-Prof Specialty
1240,B1-Prof Specialty
1300,B1-Prof Specialty
1310,B1-Prof Specialty
1320,B1-Prof Specialty
1340,B1-Prof Specialty
1350,B1-Prof Specialty
1360,B1-Prof Specialty
1400,B1-Prof Specialty
1410,B1-Prof Specialty
1420,B1-Prof Specialty
1430,B1-Prof Specialty
1440,B1-Prof Specialty
1450,B1-Prof Specialty
1460,B1-Prof Specialty
1520,B1-Prof Specialty
1530,B1-Prof Specialty
1540,B4-Technical Unskilled
1550,B4-Technical Unskilled
1560,B4-Technical Unskilled
1600,B1-Prof Specialty
1610,B1-Prof Specialty
1640,B1-Prof Specialty
1650,B1-Prof Specialty
1700,B1-Prof Specialty
1710,B1-Prof Specialty
1720,B1-Prof Specialty
1740,B1-Prof Specialty
1760,B1-Prof Specialty
1800,B1-Prof Specialty
1810,B1-Prof Specialty
1820,B1-Prof Specialty
1840,B1-Prof Specialty
1860,B1-Prof Specialty
1900,B4-Technical Unskilled
1910,B4-Technical Unskilled
1920,B4-Technical Unskilled
1930,B4-Technical Unskilled
1960,B4-Technical Unskilled
2000,B1-Prof Specialty
2010,B1-Prof Specialty
2020,B4-Technical Unskilled
2040,B1-Prof Specialty
2050,B1-Prof Specialty
2060,B1-Prof Specialty
2100,B1-Prof Specialty
2140,B4-Technical Unskilled
2150,B4-Technical Unskilled
2200,B2-Education
2300,B4-Technical Unskilled
2310,B2-Education
2320,B2-Education
2330,B2-Education
2340,B4-Technical Unskilled
2400,B2-Education
2430,B2-Education
2440,B4-Technical Unskilled
2540,B4-Technical Unskilled
2550,B2-Education
2600,B1-Prof Specialty
2630,B4-Technical Unskilled
2700,B4-Technical Unskilled
2710,B1-Prof Specialty
2720,B4-Technical Unskilled
2740,B4-Technical Unskilled
2750,B4-Technical Unskilled
2760,B4-Technical Unskilled
2800,B4-Technical Unskilled
2810,B1-Prof Specialty
2820,B1-Prof Specialty
2830,B1-Prof Specialty
2840,B1-Prof Specialty
2850,B1-Prof Specialty
2860,B4-Technical Unskilled
2900,B4-Technical Unskilled
2910,B4-Technical Unskilled
2920,B4-Technical Unskilled
3000,B3-Health
3010,B3-Health
3030,B3-Health
3040,B3-Health
3050,B3-Health
3060,B3-Health
3110,B3-Health
3120,B3-Health
3130,B3-Health
3140,B3-Health
3150,B3-Health
3160,B3-Health
3200,B3-Health
3210,B3-Health
3220,B4-Technical Unskilled
3230,B3-Health
3240,B3-Health
3250,B3-Health
3260,B3-Health
3300,B4-Technical Unskilled
3310,B4-Technical Unskilled
3320,B4-Technical Unskilled
3400,B4-Technical Unskilled
3410,B4-Technical Unskilled
3500,B4-Technical Unskilled
3510,B4-Technical Unskilled
3520,B4-Technical Unskilled
3530,B4-Technical Unskilled
3540,B3-Health
3600,B4-Technical Unskilled
3610,B4-Technical Unskilled
3620,B4-Technical Unskilled
3630,B4-Technical Unskilled
3640,B4-Technical Unskilled
3650,B4-Technical Unskilled
3700,D3-ProtectTrans Specialists
3710,D3-ProtectTrans Specialists
3720,D3-ProtectTrans Specialists
3730,D3-ProtectTrans Specialists
3740,D3-ProtectTrans Specialists
3750,D3-ProtectTrans Specialists
3800,D3-ProtectTrans Specialists
3820,D3-ProtectTrans Specialists
3840,D3-ProtectTrans Specialists
3850,D3-ProtectTrans Specialists
3900,D3-ProtectTrans Specialists
3910,D3-ProtectTrans Specialists
3920,D3-ProtectTrans Specialists
3940,D3-ProtectTrans Specialists
3950,D4-Blue Collar Unskilled
4000,C4-Sales Clerical Unskilled
4010,C4-Sales Clerical Unskilled
4020,C4-Sales Clerical Unskilled
4030,C4-Sales Clerical Unskilled
4040,C2-Sales Service
4050,C4-Sales Clerical Unskilled
4060,C4-Sales Clerical Unskilled
4110,C4-Sales Clerical Unskilled
4120,C4-Sales Clerical Unskilled
4130,C4-Sales Clerical Unskilled
4140,C4-Sales Clerical Unskilled
4150,C4-Sales Clerical Unskilled
4200,D2-MaintConstRepair Specialists
4210,D2-MaintConstRepair Specialists
4220,D4-Blue Collar Unskilled
4230,D4-Blue Collar Unskilled
4240,D2-MaintConstRepair Specialists
4250,D4-Blue Collar Unskilled
4300,C1-Sales Clerical Professionals
4320,C2-Sales Service
4340,C2-Sales Service
4350,C4-Sales Clerical Unskilled
4400,C4-Sales Clerical Unskilled
4410,C4-Sales Clerical Unskilled
4420,C4-Sales Clerical Unskilled
4430,C4-Sales Clerical Unskilled
4460,C2-Sales Service
4500,C4-Sales Clerical Unskilled
4510,C2-Sales Service
4520,C4-Sales Clerical Unskilled
4530,C4-Sales Clerical Unskilled
4540,C1-Sales Clerical Professionals
4550,C1-Sales Clerical Professionals
4600,C4-Sales Clerical Unskilled
4610,C4-Sales Clerical Unskilled
4620,C1-Sales Clerical Professionals
4640,C2-Sales Service
4650,C4-Sales Clerical Unskilled
4700,C2-Sales Service
4710,C1-Sales Clerical Professionals
4720,C4-Sales Clerical Unskilled
4740,C4-Sales Clerical Unskilled
4750,C4-Sales Clerical Unskilled
4760,C2-Sales Service
4800,C1-Sales Clerical Professionals
4810,C1-Sales Clerical Professionals
4820,C1-Sales Clerical Professionals
4830,C1-Sales Clerical Professionals
4840,C1-Sales Clerical Professionals
4850,C1-Sales Clerical Professionals
4900,C4-Sales Clerical Unskilled
4920,C1-Sales Clerical Professionals
4930,C1-Sales Clerical Professionals
4940,C4-Sales Clerical Unskilled
4950,C4-Sales Clerical Unskilled
4960,C1-Sales Clerical Professionals
5000,C1-Sales Clerical Professionals
5010,C3-Clerical
5020,C3-Clerical
5030,C3-Clerical
5100,C3-Clerical
5110,C3-Clerical
5120,C3-Clerical
5130,C3-Clerical
5140,C3-Clerical
5150,C1-Sales Clerical Professionals
5160,C3-Clerical
5200,C1-Sales Clerical Professionals
5220,C3-Clerical
5230,C3-Clerical
5240,C3-Clerical
5250,C1-Sales Clerical Professionals
5260,C3-Clerical
5300,C3-Clerical
5310,C3-Clerical
5320,C1-Sales Clerical Professionals
5330,C3-Clerical
5340,C3-Clerical
5350,C3-Clerical
5360,C3-Clerical
5400,C3-Clerical
5410,C1-Sales Clerical Professionals
5420,C3-Clerical
5500,C3-Clerical
5510,C3-Clerical
5520,C3-Clerical
5530,C3-Clerical
5540,C3-Clerical
5550,C3-Clerical
5560,C3-Clerical
5600,C1-Sales Clerical Professionals
5610,C4-Sales Clerical Unskilled
5620,C4-Sales Clerical Unskilled
5630,C4-Sales Clerical Unskilled
5700,C3-Clerical
5800,C3-Clerical
5810,C3-Clerical
5820,C3-Clerical
5840,C3-Clerical
5850,C3-Clerical
5860,C3-Clerical
5900,C3-Clerical
