code,name,description,type
11,FLR MH,Mobile Home Residential,res
12,FLR MF,Multi-Family Residential,res
13,FLR AT,Attached Residential,res
14,FLR SFD,Single-Family Residential,res
15,FLR RRMH,Rural Res. Mobile Home(>=1 acre/unit),res
16,FLR RRSFD,Rural Res. Single Family (>=1 acre/unit),res
21,FLR Accommodation, ,nres
23,FLR Government Support, ,nres
24,FLR K12, ,nres
25,FLR Heavy Industry, ,nres
26,FLR Hospital, ,nres
27,FLR Institutional, ,nres
28,FLR Light Industry, ,nres
29,FLR Office, ,nres
30,FLR Retail, ,nres
31,FLR Warehouse, ,nres
32,FLR Agriculture,Existing Agriculture/Range/mining lands,agfor
33,FLR Logging,Existing Logging Timberlands,agfor
