industry,industryLabel
0,AGRICULTURE AND MINING
1,AGRICULTURE AND MINING
2,AGRICULTURE AND MINING
3,AGRICULTURE AND MINING
4,AGRICULTURE AND MINING
5,AGRICULTURE AND MINING
6,AGRICULTURE AND MINING
7,AGRICULTURE AND MINING
8,AGRICULTURE AND MINING
9,AGRICULTURE AND MINING
10,AGRICULTURE AND MINING
11,AGRICULTURE AND MINING
12,AGRICULTURE AND MINING
13,AGRICULTURE AND MINING
14,AGRICULTURE AND MINING
15,AGRICULTURE AND MINING
16,AGRICULTURE AND MINING
17,AGRICULTURE AND MINING
18,AGRICULTURE AND MINING
19,AGRICULTURE AND MINING
20,AGRICULTURE AND MINING
21,AGRICULTURE AND MINING
22,AGRICULTURE AND MINING
23,AGRICULTURE AND MINING
24,AGRICULTURE AND MINING
25,AGRICULTURE AND MINING
26,AGRICULTURE AND MINING
27,AGRICULTURE AND MINING
28,AGRICULTURE AND MINING
29,AGRICULTURE AND MINING
30,AGRICULTURE AND MINING
31,FORESTRY AND LOGGING
32,AGRICULTURE AND MINING
33,AGRICULTURE AND MINING
34,AGRICULTURE AND MINING
35,AGRICULTURE AND MINING
36,AGRICULTURE AND MINING
37,AGRICULTURE AND MINING
38,AGRICULTURE AND MINING
39,AGRICULTURE AND MINING
40,AGRICULTURE AND MINING
41,AGRICULTURE AND MINING
42,AGRICULTURE AND MINING
43,AGRICULTURE AND MINING
44,AGRICULTURE AND MINING
45,AGRICULTURE AND MINING
46,AGRICULTURE AND MINING
47,AGRICULTURE AND MINING
48,AGRICULTURE AND MINING
49,AGRICULTURE AND MINING
50,AGRICULTURE AND MINING
51,AGRICULTURE AND MINING
52,AGRICULTURE AND MINING
53,AGRICULTURE AND MINING
54,AGRICULTURE AND MINING
55,AGRICULTURE AND MINING
56,AGRICULTURE AND MINING
57,AGRICULTURE AND MINING
58,AGRICULTURE AND MINING
59,AGRICULTURE AND MINING
60,CONSTRUCTION
61,CONSTRUCTION
62,CONSTRUCTION
63,CONSTRUCTION
64,CONSTRUCTION
65,CONSTRUCTION
66,CONSTRUCTION
67,CONSTRUCTION
68,CONSTRUCTION
69,CONSTRUCTION
70,CONSTRUCTION
71,CONSTRUCTION
72,CONSTRUCTION
73,CONSTRUCTION
74,CONSTRUCTION
75,CONSTRUCTION
76,CONSTRUCTION
77,CONSTRUCTION
78,CONSTRUCTION
79,CONSTRUCTION
80,CONSTRUCTION
81,CONSTRUCTION
82,CONSTRUCTION
83,CONSTRUCTION
84,CONSTRUCTION
85,CONSTRUCTION
86,CONSTRUCTION
87,CONSTRUCTION
88,CONSTRUCTION
89,CONSTRUCTION
