Workers,1990households,1991households,1992households,1993households,1994households,1995households,1996households,1997households,1998households,1999households,2000households
0,541.147,544.4059,547.6648,550.9237,554.1826,557.4415,560.7004,563.9593,567.2182,570.4771,573.736
1,694.928,706.4372,717.9464,729.4556,740.9648,752.474,763.9832,775.4924,787.0016,798.5108,810.02
2,610.846,619.5957,628.3454,637.0951,645.8448,654.5945,663.3442,672.0939,680.8436,689.5933,698.343
3,96.268,97.6322,98.9964,100.3606,101.7248,103.089,104.4532,105.8174,107.1816,108.5458,109.91
4,17.284,17.7796,18.2752,18.7708,19.2664,19.762,20.2576,20.7532,21.2488,21.7444,22.24
5,3.395,3.473,3.551,3.629,3.707,3.785,3.863,3.941,4.019,4.097,4.175
6,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1
10+,1,1,1,1,1,1,1,1,1,1,1
