"year","res_or_non_res","dollars"
2009,"residential",7890011
2009,"non_residential",7631333
2010,"residential",7584776
2010,"non_residential",6610025
2011,"residential",7981747
2011,"non_residential",6493614
2012,"residential",8438679
2012,"non_residential",6404819
2013,"residential",9403270
2013,"non_residential",6600537
2014,"residential",10325854
2014,"non_residential",7154000
2015,"residential",10769312
2015,"non_residential",7712469
2016,"residential",10854392
2016,"non_residential",8007488
2017,"residential",10893387
2017,"non_residential",8160140
2018,"residential",10949340
2018,"non_residential",8283957
2019,"residential",11050294
2019,"non_residential",8402418
2020,"residential",11167469
2020,"non_residential",8513352
2021,"residential",11195693
2021,"non_residential",8602453
2022,"residential",11291606
2022,"non_residential",8663176
2023,"residential",11649101
2023,"non_residential",8818358
2024,"residential",11745014
2024,"non_residential",8993780
2025,"residential",11910682
2025,"non_residential",9155709
2026,"residential",12041473
2026,"non_residential",9317637
2027,"residential",12024034
2027,"non_residential",9472819
2028,"residential",11919402
2028,"non_residential",9628000
2029,"residential",11858366
2029,"non_residential",9783182
2030,"residential",11945560
2030,"non_residential",9945110
2031,"residential",12032754
2031,"non_residential",10120533
2032,"residential",11971718
2032,"non_residential",10295955
2033,"residential",11962999
2033,"non_residential",10478125
2034,"residential",12067631
2034,"non_residential",10660295
2035,"residential",12207142
2035,"non_residential",10849211
2036,"residential",12320494
2036,"non_residential",11044875
2037,"residential",12381529
2037,"non_residential",11254033
2038,"residential",12407687
2038,"non_residential",11469937
2039,"residential",12451284
2039,"non_residential",11699336
2040,"residential",12529759
2040,"non_residential",11928735
2041,"residential",12669269
2041,"non_residential",12158134
