,VLDR,LDR,MLDR,MDR,MHDR,HDR,VHDR,MURL,MURM,MURMH,MURH,MURVH,MUREH,CC,CG,CN,CO,PF,POS,IC,IO,IL,IH,FUD,MFL10,EFU20,EFU40,EFU80,EFU160,FF20,FF40,FF80,FF160,SF80,PF80,RR10,RR5,RR2,RR1,RC,UCRC,RI,UCRI,OSC,MA,CE,CS,BD,RNG,FOR,IRM,CEE,CPE,O,WATER
FLR MH,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
FLR MF,0,0,0,0,1,2,4,1,2,3,4,6,10,2,2,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0
FLR AT,0.1,0.2,0.3,0.4,0.6,0.75,1,0.6,0.8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
FLR SFD,0.1,0.15,0.2,0.25,0.5,0.6,0.7,0.5,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0
FLR RRMH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.001,0.0005,0.00025,0.000125,0.0000625,0.0005,0.00025,0.000125,0.0000625,0.000125,0.000125,0.01,0.02,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0.001,0.1,0.1,0,0
FLR RRSFD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.001,0.0005,0.00025,0.000125,0.0000625,0.0005,0.00025,0.000125,0.0000625,0.000125,0.000125,0.01,0.02,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0.001,0.1,0.1,0,0
FLR Accommodation,0,0,0,0,0,0,0,2,4,6,8,10,12,6,2,4,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.001,2,2,0,0
FLR Government Support,0,0,0,0,0,0,0,1,2,4,6,8,10,4,2,2,6,2.5,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,1,1,0,0
FLR K12,0.2,0.25,0.3,0.35,0.4,0.4,0.5,0.2,0.25,0.3,0.35,0.4,0.5,0.3,0.2,0.2,0.4,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0.001,0.2,0.2,0,0
FLR Heavy Industry,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.3,0,0,0,0,0.4,0.4,0.4,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0,0
FLR Hospital,0,0,0,0,0,0,0,1,2,3,4,5,6,4,3,3,5,3,0,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
FLR Institutional,0.2,0.25,0.3,0.35,0.4,0.45,0.5,1,2,3,4,5,6,1,0.3,0.3,4,0.3,0,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.5,0.5,0,0
FLR Light Industry,0,0,0,0,0,0,0,2,3,4,0,0,0,2,0.5,1,0,0,0,2,3,2,2,2,0.001,0.0005,0.00025,0.000125,0.0000625,0.0005,0.00025,0.000125,0.0000625,0.000125,0.000125,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0.001,2,2,0,0
FLR Office,0,0,0,0,0,0,0,3,6,9,12,15,18,3,1,1,10,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0.001,1,1,0,0
FLR Retail,0,0,0,0,0,0,0,0.5,1,2,4,6,10,1,0.5,0.5,3,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0.001,0.5,0.5,0,0
FLR Warehouse,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0.001,0.0005,0.00025,0.000125,0.0000625,0.0005,0.00025,0.000125,0.0000625,0.000125,0.000125,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0.001,1,1,0,0
