"year","activity","dollars"
2009,"FGOV_acct_gov",93817954
2009,"SLGOV_acct_gov",71879103
2009,"CAP_acct_gov",69549705
2010,"FGOV_acct_gov",92916184
2010,"SLGOV_acct_gov",71176825
2010,"CAP_acct_gov",68969305
2011,"FGOV_acct_gov",94324648
2011,"SLGOV_acct_gov",72273529
2011,"CAP_acct_gov",69876984
2012,"FGOV_acct_gov",96206907
2012,"SLGOV_acct_gov",73739516
2012,"CAP_acct_gov",71087610
2013,"FGOV_acct_gov",98821426
2013,"SLGOV_acct_gov",75776475
2013,"CAP_acct_gov",72764875
2014,"FGOV_acct_gov",101396544
2014,"SLGOV_acct_gov",77783612
2014,"CAP_acct_gov",74411102
2015,"FGOV_acct_gov",103723794
2015,"SLGOV_acct_gov",79598310
2015,"CAP_acct_gov",75893891
2016,"FGOV_acct_gov",105683411
2016,"SLGOV_acct_gov",81126908
2016,"CAP_acct_gov",77138754
2017,"FGOV_acct_gov",107282739
2017,"SLGOV_acct_gov",82374843
2017,"CAP_acct_gov",78152258
2018,"FGOV_acct_gov",108687601
2018,"SLGOV_acct_gov",83471308
2018,"CAP_acct_gov",79040777
2019,"FGOV_acct_gov",109904956
2019,"SLGOV_acct_gov",84421630
2019,"CAP_acct_gov",79809395
2020,"FGOV_acct_gov",111170743
2020,"SLGOV_acct_gov",85409942
2020,"CAP_acct_gov",80607426
2021,"FGOV_acct_gov",112236810
2021,"SLGOV_acct_gov",86242469
2021,"CAP_acct_gov",81278531
2022,"FGOV_acct_gov",113127451
2022,"SLGOV_acct_gov",86938110
2022,"CAP_acct_gov",81838502
2023,"FGOV_acct_gov",114245582
2023,"SLGOV_acct_gov",87811546
2023,"CAP_acct_gov",82540772
2024,"FGOV_acct_gov",115414311
2024,"SLGOV_acct_gov",88724655
2024,"CAP_acct_gov",83273875
2025,"FGOV_acct_gov",116688454
2025,"SLGOV_acct_gov",89720289
2025,"CAP_acct_gov",84072034
2026,"FGOV_acct_gov",117974743
2026,"SLGOV_acct_gov",90725593
2026,"CAP_acct_gov",84876641
2027,"FGOV_acct_gov",119208332
2027,"SLGOV_acct_gov",91689883
2027,"CAP_acct_gov",85647175
2028,"FGOV_acct_gov",120478453
2028,"SLGOV_acct_gov",92682900
2028,"CAP_acct_gov",86439445
2029,"FGOV_acct_gov",121798157
2029,"SLGOV_acct_gov",93714861
2029,"CAP_acct_gov",87261500
2030,"FGOV_acct_gov",123280436
2030,"SLGOV_acct_gov",94874156
2030,"CAP_acct_gov",88183507
2031,"FGOV_acct_gov",124407581
2031,"SLGOV_acct_gov",95755875
2031,"CAP_acct_gov",88883502
2032,"FGOV_acct_gov",125604773
2032,"SLGOV_acct_gov",96692528
2032,"CAP_acct_gov",89626110
2033,"FGOV_acct_gov",126755896
2033,"SLGOV_acct_gov",97593280
2033,"CAP_acct_gov",90339246
2034,"FGOV_acct_gov",128054304
2034,"SLGOV_acct_gov",98609434
2034,"CAP_acct_gov",91142664
2035,"FGOV_acct_gov",129365014
2035,"SLGOV_acct_gov",99635386
2035,"CAP_acct_gov",91952609
2036,"FGOV_acct_gov",130713082
2036,"SLGOV_acct_gov",100690757
2036,"CAP_acct_gov",92784528
2037,"FGOV_acct_gov",132107648
2037,"SLGOV_acct_gov",101782715
2037,"CAP_acct_gov",93643972
2038,"FGOV_acct_gov",133503138
2038,"SLGOV_acct_gov",102875587
2038,"CAP_acct_gov",94502789
2039,"FGOV_acct_gov",134939292
2039,"SLGOV_acct_gov",104000499
2039,"CAP_acct_gov",95385414
2040,"FGOV_acct_gov",136447312
2040,"SLGOV_acct_gov",105181908
2040,"CAP_acct_gov",96310905
2041,"FGOV_acct_gov",137779088
2041,"SLGOV_acct_gov",106225436
2041,"CAP_acct_gov",97127044
