"year","age_group","population"
2009,0,448
2009,5,438
2009,10,449
2009,15,465
2009,20,464
2009,25,457
2009,30,451
2009,35,448
2009,40,449
2009,45,451
2009,50,457
2009,55,444
2009,60,398
2009,65,227
2009,70,185
2009,75,161
2009,80,143
2009,85,120
2010,0,456
2010,5,440
2010,10,450
2010,15,467
2010,20,469
2010,25,464
2010,30,456
2010,35,453
2010,40,450
2010,45,454
2010,50,462
2010,55,455
2010,60,415
2010,65,237
2010,70,190
2010,75,163
2010,80,145
2010,85,124
2011,0,461
2011,5,446
2011,10,453
2011,15,465
2011,20,473
2011,25,467
2011,30,466
2011,35,459
2011,40,454
2011,45,453
2011,50,460
2011,55,456
2011,60,427
2011,65,253
2011,70,200
2011,75,167
2011,80,144
2011,85,125
2012,0,467
2012,5,453
2012,10,455
2012,15,463
2012,20,477
2012,25,469
2012,30,477
2012,35,465
2012,40,459
2012,45,452
2012,50,458
2012,55,458
2012,60,439
2012,65,269
2012,70,211
2012,75,171
2012,80,144
2012,85,127
2013,0,473
2013,5,460
2013,10,458
2013,15,461
2013,20,482
2013,25,472
2013,30,487
2013,35,471
2013,40,464
2013,45,451
2013,50,456
2013,55,459
2013,60,451
2013,65,286
2013,70,222
2013,75,175
2013,80,143
2013,85,128
2014,0,479
2014,5,466
2014,10,461
2014,15,459
2014,20,486
2014,25,475
2014,30,498
2014,35,478
2014,40,469
2014,45,450
2014,50,454
2014,55,461
2014,60,464
2014,65,304
2014,70,233
2014,75,179
2014,80,142
2014,85,130
2015,0,485
2015,5,473
2015,10,463
2015,15,457
2015,20,490
2015,25,478
2015,30,509
2015,35,485
2015,40,474
2015,45,449
2015,50,452
2015,55,463
2015,60,477
2015,65,324
2015,70,245
2015,75,183
2015,80,141
2015,85,132
2016,0,489
2016,5,479
2016,10,470
2016,15,460
2016,20,488
2016,25,482
2016,30,512
2016,35,495
2016,40,480
2016,45,454
2016,50,451
2016,55,461
2016,60,479
2016,65,333
2016,70,261
2016,75,193
2016,80,144
2016,85,133
2017,0,494
2017,5,485
2017,10,477
2017,15,462
2017,20,486
2017,25,486
2017,30,515
2017,35,507
2017,40,487
2017,45,459
2017,50,450
2017,55,459
2017,60,481
