"year","trade_activity","dollars"
2009,"accommodations_expt",3270897
2009,"accommodations_impt",2541893
2009,"communications and utilities_expt",5678835
2009,"communications and utilities_impt",7869735
2009,"construction_expt",9180101
2009,"construction_impt",12590736
2009,"education reports to sponsors_expt",104925
2009,"education reports to sponsors_impt",37468
2009,"energy_expt",3123152
2009,"energy_impt",1143833
2009,"entertainment services_expt",407918
2009,"entertainment services_impt",1089285
2009,"fire business and professional services_expt",8268891
2009,"fire business and professional services_impt",30845753
2009,"food services_expt",720017
2009,"food services_impt",333886
2009,"government administration_expt",3594245
2009,"government administration_impt",3567100
2009,"health services_expt",6322316
2009,"health services_impt",1230527
2009,"higher education_expt",928962
2009,"higher education_impt",832994
2009,"personal and other services and amusements_expt",4882028
2009,"personal and other services and amusements_impt",1871341
2009,"retail trade_expt",3929056
2009,"retail trade_impt",1961754
2009,"sctg01_fkp_lvsk_expt",402771
2009,"sctg01_fkp_lvsk_impt",260851
2009,"sctg02_fkp_agri_cereal_expt",485385
2009,"sctg02_fkp_agri_cereal_impt",591333
2009,"sctg03_fkp_agri_other_expt",6652824
2009,"sctg03_fkp_agri_other_impt",1099384
2009,"sctg04_fkp_feed_expt",157695
2009,"sctg04_fkp_feed_impt",763913
2009,"sctg05_fkp_food_meat_expt",2043553
2009,"sctg05_fkp_food_meat_impt",2921116
2009,"sctg06_fkp_agri_grain_expt",761763
2009,"sctg06_fkp_agri_grain_impt",855005
2009,"sctg07_fkp_food_prep_expt",9382926
2009,"sctg07_fkp_food_prep_impt",5311390
2009,"sctg08_fkp_food_alc_expt",1156635
2009,"sctg08_fkp_food_alc_impt",1431454
2009,"sctg10_cms_clay_expt",95535
2009,"sctg10_cms_clay_impt",73318
2009,"sctg11_cms_sand_expt",163312
2009,"sctg11_cms_sand_impt",17334
2009,"sctg13_cms_mine_nonmet_expt",34035
2009,"sctg13_cms_mine_nonmet_impt",144904
2009,"sctg14_cms_mine_met_expt",1315595
2009,"sctg14_cms_mine_met_impt",507173
2009,"sctg15_pcc_coal_expt",34024
2009,"sctg15_pcc_coal_impt",717887
2009,"sctg16_pcc_petr_crude_expt",242078
2009,"sctg16_pcc_petr_crude_impt",1590154
2009,"sctg17_pcc_fuel_expt",21714
2009,"sctg17_pcc_fuel_impt",5642668
2009,"sctg18_pcc_petr_oil_expt",10857
2009,"sctg18_pcc_petr_oil_impt",2821334
