Azone,CNST_offc_off,RET_stor_off,SERV_site_li,ENGY_offc_off,MFG_food_hi,FIRE_real_off,SERV_bus_off,HLTH_care_inst,CNST_res_xxx,MFG_hvtw_li,WHSL_offc_off,HOSP_acc_acc,SERV_stor_ret,UTL_othr_off_li,HOSP_eat_ret_acc,RET_auto_ret,MFG_lvtw_hi,FIRE_fnin_off,MFG_htec_hi,INFO_info_off,MFG_hvtw_hi,MFG_wdppr_hi,CNST_othr_xxx,K12_k12_off,ENGY_elec_hi,SERV_tech_off,CNST_main_xxx,GOV_offc_off,no_industry,MFG_htec_li,RES_offc_off,TRNS_trns_off,RES_agmin_ag,K12_k12_k12,CNST_nres_xxx,ENT_ent_ret,GOV_admn_gov,HLTH_othr_off_li,MFG_offc_off,ENGY_ngas_hi,HLTH_hosp_hosp,RES_forst_log,HIED_hied_off_inst,MFG_food_li,RET_stor_ret,INFO_info_off_li,ENGY_ptrl_hi,RET_nstor_off,SERV_home_xxx,SERV_nonp_off_inst,WHSL_whsl_ware,UTL_othr_off,TRNS_trns_ware,Total
1,3645,2658,2768,1277,808,5632,7293,2895,1384,1187,1430,1481,3358,949,9053,4628,604,6109,189,2492,1179,1312,2505,2043,271,9122,1152,5854,705,173,2995,2367,4725,5981,2058,3272,3669,6406,7635,46,3764,395,2874,816,10704,509,448,2154,2277,5576,4447,789,3482,161544
2,3645,2658,2768,1277,808,5632,7293,2895,1384,1187,1430,1481,3358,949,9053,4628,604,6109,189,2492,1179,1312,2505,2043,271,9122,1152,5854,705,173,2995,2367,4725,5981,2058,3272,3669,6406,7635,46,3764,395,2874,816,10704,509,448,2154,2277,5576,4447,789,3482,161544
3,3645,2658,2768,1277,808,5632,7293,2895,1384,1187,1430,1481,3358,949,9053,4628,604,6109,189,2492,1179,1312,2505,2043,271,9122,1152,5854,705,173,2995,2367,4725,5981,2058,3272,3669,6406,7635,46,3764,395,2874,816,10704,509,448,2154,2277,5576,4447,789,3482,161544
4,3645,2658,2768,1277,808,5632,7293,2895,1384,1187,1430,1481,3358,949,9053,4628,604,6109,189,2492,1179,1312,2505,2043,271,9122,1152,5854,705,173,2995,2367,4725,5981,2058,3272,3669,6406,7635,46,3764,395,2874,816,10704,509,448,2154,2277,5576,4447,789,3482,161544
5,3645,2658,2768,1277,808,5632,7293,2895,1384,1187,1430,1481,3358,949,9053,4628,604,6109,189,2492,1179,1312,2505,2043,271,9122,1152,5854,705,173,2995,2367,4725,5981,2058,3272,3669,6406,7635,46,3764,395,2874,816,10704,509,448,2154,2277,5576,4447,789,3482,161544
6,3645,2658,2768,1277,808,5632,7293,2895,1384,1187,1430,1481,3358,949,9053,4628,604,6109,189,2492,1179,1312,2505,2043,271,9122,1152,5854,705,173,2995,2367,4725,5981,2058,3272,3669,6406,7635,46,3764,395,2874,816,10704,509,448,2154,2277,5576,4447,789,3482,161544
7,3645,2658,2768,1277,808,5632,7293,2895,1384,1187,1430,1481,3358,949,9053,4628,604,6109,189,2492,1179,1312,2505,2043,271,9122,1152,5854,705,173,2995,2367,4725,5981,2058,3272,3669,6406,7635,46,3764,395,2874,816,10704,509,448,2154,2277,5576,4447,789,3482,161544
8,3645,2658,2768,1277,808,5632,7293,2895,1384,1187,1430,1481,3358,949,9053,4628,604,6109,189,2492,1179,1312,2505,2043,271,9122,1152,5854,705,173,2995,2367,4725,5981,2058,3272,3669,6406,7635,46,3764,395,2874,816,10704,509,448,2154,2277,5576,4447,789,3482,161544
9,3645,2658,2768,1277,808,5632,7293,2895,1384,1187,1430,1481,3358,949,9053,4628,604,6109,189,2492,1179,1312,2505,2043,271,9122,1152,5854,705,173,2995,2367,4725,5981,2058,3272,3669,6406,7635,46,3764,395,2874,816,10704,509,448,2154,2277,5576,4447,789,3482,161544
10,3645,2658,2768,1277,808,5632,7293,2895,1384,1187,1430,1481,3358,949,9053,4628,604,6109,189,2492,1179,1312,2505,2043,271,9122,1152,5854,705,173,2995,2367,4725,5981,2058,3272,3669,6406,7635,46,3764,395,2874,816,10704,509,448,2154,2277,5576,4447,789,3482,161544
