22-Feb-2007 17:29:53, ATHENA, [main], INFO, Root Directory: /models/tlumip
22-Feb-2007 17:29:53, ATHENA, [main], INFO, Scenario Name: crf_Run1YearAttempt
22-Feb-2007 17:29:53, ATHENA, [main], INFO, App Name: ed
22-Feb-2007 17:29:53, ATHENA, [main], INFO, Base Year: 1990
22-Feb-2007 17:29:53, ATHENA, [main], INFO, Time Interval: 1
22-Feb-2007 17:29:53, ATHENA, [main], INFO, Creating the base year run log in /models/tlumip/scenario_crf_Run1YearAttempt/t0/
22-Feb-2007 17:29:53, ATHENA, [main], INFO, Looking for the run log in /models/tlumip/scenario_crf_Run1YearAttempt/t1/
22-Feb-2007 17:29:53, ATHENA, [main], INFO, Writing the current year into the run log
22-Feb-2007 17:29:53, ATHENA, [main], INFO, Reading in Run Log from year 1 and updating the RunLog HashMap: 
22-Feb-2007 17:29:53, ATHENA, [main], INFO, Full Path to Template File: Z:\models\tlumip\scenario_crf_Run1YearAttempt\t0\ao\aoTemplate.properties
22-Feb-2007 17:29:53, ATHENA, [main], INFO, Creating Z:\models\tlumip\scenario_crf_Run1YearAttempt\t1\ao\ao.properties
22-Feb-2007 17:29:54, ATHENA, [main], INFO, Full Path to Template File: Z:\models\tlumip\scenario_crf_Run1YearAttempt\t0\globalTemplate.properties
22-Feb-2007 17:29:54, ATHENA, [main], INFO, Creating Z:\models\tlumip\scenario_crf_Run1YearAttempt\t1\global.properties
22-Feb-2007 17:29:54, ATHENA, [main], INFO, Full Path to Template File: Z:\models\tlumip\scenario_crf_Run1YearAttempt\t0\ed\edTemplate.properties
22-Feb-2007 17:29:54, ATHENA, [main], INFO, Creating Z:\models\tlumip\scenario_crf_Run1YearAttempt\t1\ed\ed.properties
22-Feb-2007 17:29:54, ATHENA, [main], INFO, AO will now start ED for simulation year 1991
22-Feb-2007 17:29:55, ATHENA, [main], INFO, Default location:  /models/tlumip/scenario_crf_Run1YearAttempt/t0/ed/model_data.csv  default year:  1991
22-Feb-2007 17:29:57, ATHENA, [main], INFO, Starting ED model in year 1991
22-Feb-2007 17:29:57, ATHENA, [main], INFO, Beginning submodel 'FinalDemand' of type 'SimpleFunctions'
22-Feb-2007 17:29:57, ATHENA, [main], INFO, 	Reading data
22-Feb-2007 17:29:57, ATHENA, [main], INFO, 	Solving model
22-Feb-2007 17:29:57, ATHENA, [main], INFO, 	Writing data
22-Feb-2007 17:29:57, ATHENA, [main], INFO, 		variable: OGSLO value: 7725999.616428201
